move_const	move_name	type	category	power	accuracy	pp	priority	effect	target	flags	description	source_file	source_line	confidence
MOVE_GUILLOTINE	Guillotine	TYPE_NORMAL	PHYSICAL	1	30	5	0	EFFECT_OHKO	SELECTED	makesContact	A powerful pincer attack  that may cause fainting.	src/data/moves_info.h	400	Measured
MOVE_RAZOR_WIND	Razor Wind	TYPE_NORMAL	SPECIAL	80	100	10	0	EFFECT_TWO_TURNS_ATTACK	BOTH	criticalHitStage:1	A 2-turn move that strikes  the foe on the 2nd turn.	src/data/moves_info.h	422	Measured
MOVE_SWORDS_DANCE	Swords Dance	TYPE_NORMAL	STATUS	0	0	20	0	EFFECT_ATTACK_UP_2	USER	danceMove	A fighting dance that  sharply raises Attack.	src/data/moves_info.h	448	Measured
MOVE_CUT	Cut	TYPE_STEEL	PHYSICAL	75	100	25	0	EFFECT_HIT	SELECTED	makesContact,slicingMove	Cuts the foe with sharp  scythes, claws, etc.	src/data/moves_info.h	472	Measured
MOVE_GUST	Gust	TYPE_FLYING	SPECIAL	40	100	35	0	EFFECT_HIT	SELECTED	windMove	Strikes the foe with a gust  of wind whipped up by wings.	src/data/moves_info.h	495	Measured
MOVE_WING_ATTACK	Wing Attack	TYPE_FLYING	PHYSICAL	60	100	35	0	EFFECT_HIT	SELECTED	makesContact	Strikes the foe with wings  spread wide.	src/data/moves_info.h	519	Measured
MOVE_WHIRLWIND	Whirlwind	TYPE_NORMAL	STATUS	0	0	20	-6	EFFECT_ROAR	SELECTED	windMove,ignoresSubstitute	Blows away the foe with  wind and ends the battle.	src/data/moves_info.h	541	Measured
MOVE_FLY	Fly	TYPE_FLYING	PHYSICAL	90	100	15	0	EFFECT_SEMI_INVULNERABLE	SELECTED	makesContact,gravityBanned	Flies up on the first turn,  then strikes the next turn.	src/data/moves_info.h	569	Measured
MOVE_BIND	Bind	TYPE_NORMAL	PHYSICAL	15	85	20	0	EFFECT_HIT	SELECTED	makesContact	Binds and squeezes the foe  for   turns.	src/data/moves_info.h	596	Measured
MOVE_SLAM	Slam	TYPE_NORMAL	PHYSICAL	80	100	20	0	EFFECT_HIT	SELECTED	makesContact	Slams the foe with a long  tail, vine, etc.	src/data/moves_info.h	622	Measured
MOVE_VINE_WHIP	Vine Whip	TYPE_GRASS	PHYSICAL	45	100	25	0	EFFECT_HIT	SELECTED	makesContact	Strikes the foe with  slender, whiplike vines.	src/data/moves_info.h	645	Measured
MOVE_STOMP	Stomp	TYPE_NORMAL	PHYSICAL	65	100	20	0	EFFECT_HIT	SELECTED	makesContact,kickingMove	Stomps the enemy with a big  foot. May cause flinching.	src/data/moves_info.h	667	Measured
MOVE_DOUBLE_KICK	Double Kick	TYPE_FIGHTING	PHYSICAL	30	100	30	0	EFFECT_HIT	SELECTED	makesContact,kickingMove,strikeCount:2	A double-kicking attack  that strikes the foe twice.	src/data/moves_info.h	696	Measured
MOVE_MEGA_KICK	Mega Kick	TYPE_NORMAL	PHYSICAL	120	75	5	0	EFFECT_HIT	SELECTED	makesContact,kickingMove	An extremely powerful kick  with intense force.	src/data/moves_info.h	720	Measured
MOVE_JUMP_KICK	Jump Kick	TYPE_FIGHTING	PHYSICAL	100	95	10	0	EFFECT_RECOIL_IF_MISS	SELECTED	makesContact,kickingMove,gravityBanned	A strong jumping kick. May  miss and hurt the kicker.	src/data/moves_info.h	743	Measured
MOVE_ROLLING_KICK	Rolling Kick	TYPE_FIGHTING	PHYSICAL	60	85	15	0	EFFECT_HIT	SELECTED	makesContact,kickingMove	A kick delivered from a  rapid spin. May flinch.	src/data/moves_info.h	767	Measured
MOVE_SAND_ATTACK	Sand Attack	TYPE_GROUND	STATUS	0	100	15	0	EFFECT_ATTACK_DOWN	SELECTED	NONE	Reduces the foe's attack  by hurling sand in its face.	src/data/moves_info.h	795	Measured
MOVE_HEADBUTT	Headbutt	TYPE_NORMAL	PHYSICAL	70	100	15	0	EFFECT_HIT	SELECTED	makesContact	A ramming attack that may  cause flinching.	src/data/moves_info.h	818	Measured
MOVE_HORN_ATTACK	Horn Attack	TYPE_NORMAL	PHYSICAL	65	100	25	0	EFFECT_HIT	SELECTED	makesContact	Jabs the foe with sharp  horns.	src/data/moves_info.h	844	Measured
MOVE_FURY_ATTACK	Fury Attack	TYPE_NORMAL	PHYSICAL	20	100	20	0	EFFECT_MULTI_HIT	SELECTED	makesContact	Jabs the foe 2 to 5 times  with sharp horns, etc.	src/data/moves_info.h	866	Measured
MOVE_HORN_DRILL	Horn Drill	TYPE_NORMAL	PHYSICAL	1	30	5	0	EFFECT_OHKO	SELECTED	makesContact	A one-hit KO attack that  uses a horn like a drill.	src/data/moves_info.h	888	Measured
MOVE_TACKLE	Tackle	TYPE_NORMAL	PHYSICAL	40	100	35	0	EFFECT_HIT	SELECTED	makesContact	Charges the foe with a full-  body tackle.	src/data/moves_info.h	910	Measured
MOVE_BODY_SLAM	Body Slam	TYPE_NORMAL	PHYSICAL	85	100	15	0	EFFECT_HIT	SELECTED	makesContact	A full-body slam that may  cause paralysis.	src/data/moves_info.h	932	Measured
MOVE_WRAP	Wrap	TYPE_NORMAL	PHYSICAL	15	90	20	0	EFFECT_HIT	SELECTED	makesContact	Wraps and squeezes the foe   times with vines, etc.	src/data/moves_info.h	960	Measured
MOVE_TAKE_DOWN	Take Down	TYPE_NORMAL	PHYSICAL	90	100	20	0	EFFECT_HIT	SELECTED	makesContact,recoil:25	A reckless charge attack  that also hurts the user.	src/data/moves_info.h	985	Measured
MOVE_THRASH	Thrash	TYPE_NORMAL	PHYSICAL	120	100	10	0	EFFECT_HIT	RANDOM	makesContact	A rampage of 2 to 3 turns  that confuses the user.	src/data/moves_info.h	1008	Measured
MOVE_DOUBLE_EDGE	Double-Edge	TYPE_NORMAL	PHYSICAL	120	100	15	0	EFFECT_HIT	SELECTED	makesContact,recoil:33	A life-risking tackle that  also hurts the user.	src/data/moves_info.h	1035	Measured
MOVE_TAIL_WHIP	Tail Whip	TYPE_NORMAL	STATUS	0	100	30	0	EFFECT_DEFENSE_DOWN	BOTH	NONE	Wags the tail to lower the  foe's Defense.	src/data/moves_info.h	1058	Measured
MOVE_POISON_STING	Poison Sting	TYPE_POISON	PHYSICAL	15	100	35	0	EFFECT_HIT	SELECTED	NONE	A toxic attack with barbs,  etc., that may poison.	src/data/moves_info.h	1081	Measured
MOVE_TWINEEDLE	Twineedle	TYPE_BUG	PHYSICAL	25	100	20	0	EFFECT_HIT	SELECTED	strikeCount:2	Stingers on the forelegs  jab the foe twice.	src/data/moves_info.h	1106	Measured
MOVE_PIN_MISSILE	Pin Missile	TYPE_BUG	PHYSICAL	25	100	20	0	EFFECT_MULTI_HIT	SELECTED	NONE	Sharp pins are fired to  strike 2 to 5 times.	src/data/moves_info.h	1133	Measured
MOVE_LEER	Leer	TYPE_NORMAL	STATUS	0	100	30	0	EFFECT_DEFENSE_DOWN	BOTH	NONE	Frightens the foe with a  leer to lower Defense.	src/data/moves_info.h	1154	Measured
MOVE_BITE	Bite	TYPE_DARK	PHYSICAL	60	100	25	0	EFFECT_HIT	SELECTED	makesContact,bitingMove	Bites with vicious fangs.  May cause flinching.	src/data/moves_info.h	1177	Measured
MOVE_GROWL	Growl	TYPE_NORMAL	STATUS	0	100	40	0	EFFECT_ATTACK_DOWN	BOTH	soundMove	Growls cutely to reduce the  foe's Attack.	src/data/moves_info.h	1204	Measured
MOVE_ROAR	Roar	TYPE_NORMAL	STATUS	0	0	20	-6	EFFECT_ROAR	SELECTED	soundMove	Makes the foe flee to end  the battle.	src/data/moves_info.h	1229	Measured
MOVE_SING	Sing	TYPE_NORMAL	STATUS	0	55	15	0	EFFECT_SLEEP	SELECTED	soundMove	A soothing song lulls the  foe into a deep slumber.	src/data/moves_info.h	1257	Measured
MOVE_SUPERSONIC	Supersonic	TYPE_NORMAL	STATUS	0	55	20	0	EFFECT_CONFUSE	SELECTED	soundMove	Emits bizarre sound waves  that may confuse the foe.	src/data/moves_info.h	1282	Measured
MOVE_SONIC_BOOM	Sonic Boom	TYPE_NORMAL	SPECIAL	1	90	20	0	EFFECT_FIXED_DAMAGE_ARG	SELECTED	NONE	Launches shock waves that  always inflict 20 HP damage.	src/data/moves_info.h	1307	Measured
MOVE_DISABLE	Disable	TYPE_NORMAL	STATUS	0	100	20	0	EFFECT_DISABLE	SELECTED	ignoresSubstitute	Psychically disables one of  the foe's moves.	src/data/moves_info.h	1329	Measured
MOVE_ACID	Acid	TYPE_POISON	SPECIAL	40	100	30	0	EFFECT_HIT	BOTH	NONE	Sprays a hide-melting acid.  May lower Sp. Def.	src/data/moves_info.h	1353	Measured
MOVE_EMBER	Ember	TYPE_FIRE	SPECIAL	40	100	25	0	EFFECT_HIT	SELECTED	NONE	A weak fire attack that may  inflict a burn.	src/data/moves_info.h	1382	Measured
MOVE_FLAMETHROWER	Flamethrower	TYPE_FIRE	SPECIAL	90	100	15	0	EFFECT_HIT	SELECTED	NONE	A powerful fire attack that  may inflict a burn.	src/data/moves_info.h	1407	Measured
MOVE_MIST	Mist	TYPE_ICE	STATUS	0	0	30	0	EFFECT_MIST	USER	ignoresProtect	Creates a mist that stops  reduction of abilities.	src/data/moves_info.h	1432	Measured
MOVE_WATER_GUN	Water Gun	TYPE_WATER	SPECIAL	40	100	25	0	EFFECT_HIT	SELECTED	NONE	Squirts water to attack  the foe.	src/data/moves_info.h	1457	Measured
MOVE_HYDRO_PUMP	Hydro Pump	TYPE_WATER	SPECIAL	110	80	5	0	EFFECT_HIT	SELECTED	NONE	Blasts water at high power  to strike the foe.	src/data/moves_info.h	1478	Measured
MOVE_SURF	Surf	TYPE_WATER	SPECIAL	90	100	15	0	EFFECT_HIT	B_UPDATED_MOVE_DATA >= GEN_4 ? FOES_AND_ALLY : BOTH	NONE	Creates a huge wave, then  crashes it down on the foe.	src/data/moves_info.h	1499	Measured
MOVE_ICE_BEAM	Ice Beam	TYPE_ICE	SPECIAL	90	100	10	0	EFFECT_HIT	SELECTED	NONE	Blasts the foe with an icy  beam. May cause frostbite.	src/data/moves_info.h	1522	Measured
MOVE_BLIZZARD	Blizzard	TYPE_ICE	SPECIAL	110	70	5	0	B_BLIZZARD_HAIL >= GEN_4 ? EFFECT_BLIZZARD : EFFECT_HIT	BOTH	windMove	Hits the foe with an icy  storm. May cause frostbite.	src/data/moves_info.h	1553	Measured
MOVE_PSYBEAM	Psybeam	TYPE_PSYCHIC	SPECIAL	65	100	20	0	EFFECT_HIT	SELECTED	NONE	Fires a peculiar ray that  may confuse the foe.	src/data/moves_info.h	1583	Measured
MOVE_BUBBLE_BEAM	Bubble Beam	TYPE_WATER	SPECIAL	65	100	20	0	EFFECT_HIT	SELECTED	NONE	Forcefully sprays bubbles  that may lower Speed.	src/data/moves_info.h	1608	Measured
MOVE_AURORA_BEAM	Aurora Beam	TYPE_ICE	SPECIAL	65	100	20	0	EFFECT_HIT	SELECTED	NONE	Fires a rainbow-colored  beam that may lower Attack.	src/data/moves_info.h	1633	Measured
MOVE_HYPER_BEAM	Hyper Beam	TYPE_NORMAL	SPECIAL	150	100	5	0	EFFECT_HIT	SELECTED	NONE	NONE	src/data/moves_info.h	1658	Measured
MOVE_PECK	Peck	TYPE_FLYING	PHYSICAL	35	100	35	0	EFFECT_HIT	SELECTED	makesContact	Attacks the foe with a  jabbing beak, etc.	src/data/moves_info.h	1682	Measured
MOVE_DRILL_PECK	Drill Peck	TYPE_FLYING	PHYSICAL	80	100	20	0	EFFECT_HIT	SELECTED	makesContact	A corkscrewing attack with  the beak acting as a drill.	src/data/moves_info.h	1704	Measured
MOVE_SUBMISSION	Submission	TYPE_FIGHTING	PHYSICAL	80	100	20	0	EFFECT_HIT	SELECTED	makesContact,recoil:25	A reckless body slam that  also hurts the user.	src/data/moves_info.h	1726	Measured
MOVE_LOW_KICK	Low Kick	TYPE_FIGHTING	PHYSICAL	1	100	20	0	EFFECT_LOW_KICK	SELECTED	makesContact,kickingMove	A kick that inflicts more  damage on heavier foes.	src/data/moves_info.h	1749	Measured
MOVE_COUNTER	Counter	TYPE_FIGHTING	PHYSICAL	1	100	20	-5	EFFECT_COUNTER	DEPENDS	makesContact	Retaliates any physical hit  with double the power.	src/data/moves_info.h	1772	Measured
MOVE_SEISMIC_TOSS	Seismic Toss	TYPE_FIGHTING	PHYSICAL	1	100	20	0	EFFECT_LEVEL_DAMAGE	SELECTED	makesContact	Inflicts damage identical  to the user's level.	src/data/moves_info.h	1799	Measured
MOVE_STRENGTH	Strength	TYPE_NORMAL	PHYSICAL	80	100	15	0	EFFECT_HIT	SELECTED	makesContact	Builds enormous power,  then slams the foe.	src/data/moves_info.h	1822	Measured
MOVE_ABSORB	Absorb	TYPE_GRASS	SPECIAL	25	100	25	0	EFFECT_ABSORB	SELECTED	NONE	An attack that absorbs  half the damage inflicted.	src/data/moves_info.h	1844	Measured
MOVE_MEGA_DRAIN	Mega Drain	TYPE_GRASS	SPECIAL	60	100	15	0	EFFECT_ABSORB	SELECTED	NONE	NONE	src/data/moves_info.h	1868	Measured
MOVE_LEECH_SEED	Leech Seed	TYPE_GRASS	STATUS	0	90	10	0	EFFECT_LEECH_SEED	SELECTED	NONE	Plants a seed on the foe to  steal HP on every turn.	src/data/moves_info.h	1891	Measured
MOVE_GROWTH	Growth	TYPE_NORMAL	STATUS	0	0	20	0	B_GROWTH_STAT_RAISE >= GEN_5 ? EFFECT_GROWTH : EFFECT_SPECIAL_ATTACK_UP	USER	ignoresProtect	Forces the body to grow,  raising Attack and Sp. Atk.	src/data/moves_info.h	1914	Measured
MOVE_RAZOR_LEAF	Razor Leaf	TYPE_GRASS	PHYSICAL	55	100	25	0	EFFECT_HIT	BOTH	slicingMove,criticalHitStage:1	Cuts the enemy with leaves.  High critical-hit ratio.	src/data/moves_info.h	1944	Measured
MOVE_SOLAR_BEAM	Solar Beam	TYPE_GRASS	SPECIAL	120	100	10	0	EFFECT_SOLAR_BEAM	SELECTED	NONE	Absorbs light in one turn,  then attacks next turn.	src/data/moves_info.h	1967	Measured
MOVE_POISON_POWDER	Poison Powder	TYPE_POISON	STATUS	0	75	35	0	EFFECT_POISON	SELECTED	powderMove	Scatters a powder that  may poison the foe.	src/data/moves_info.h	1991	Measured
MOVE_STUN_SPORE	Stun Spore	TYPE_GRASS	STATUS	0	75	30	0	EFFECT_PARALYZE	SELECTED	powderMove	Scatters a powder that may  paralyze the foe.	src/data/moves_info.h	2015	Measured
MOVE_SLEEP_POWDER	Sleep Powder	TYPE_GRASS	STATUS	0	75	15	0	EFFECT_SLEEP	SELECTED	powderMove	Scatters a powder that may  cause the foe to sleep.	src/data/moves_info.h	2039	Measured
MOVE_PETAL_DANCE	Petal Dance	TYPE_GRASS	SPECIAL	120	100	10	0	EFFECT_HIT	RANDOM	makesContact,danceMove	A rampage of 2 to 3 turns  that confuses the user.	src/data/moves_info.h	2063	Measured
MOVE_STRING_SHOT	String Shot	TYPE_BUG	STATUS	0	95	40	0	B_UPDATED_MOVE_DATA >= GEN_6 ? EFFECT_SPEED_DOWN_2 : EFFECT_SPEED_DOWN	BOTH	NONE	Binds the foe with string  to reduce its Speed.	src/data/moves_info.h	2091	Measured
MOVE_DRAGON_RAGE	Dragon Rage	TYPE_DRAGON	SPECIAL	1	100	10	0	EFFECT_FIXED_DAMAGE_ARG	SELECTED	NONE	Launches shock waves that  always inflict 40 HP damage.	src/data/moves_info.h	2114	Measured
MOVE_FIRE_SPIN	Fire Spin	TYPE_FIRE	SPECIAL	35	85	15	0	EFFECT_HIT	SELECTED	NONE	Traps the foe in a ring of  fire for   turns.	src/data/moves_info.h	2137	Measured
MOVE_THUNDER_SHOCK	Thunder Shock	TYPE_ELECTRIC	SPECIAL	40	100	30	0	EFFECT_HIT	SELECTED	NONE	An electrical attack that  may paralyze the foe.	src/data/moves_info.h	2162	Measured
MOVE_THUNDERBOLT	Thunderbolt	TYPE_ELECTRIC	SPECIAL	90	100	15	0	EFFECT_HIT	SELECTED	NONE	A strong electrical attack  that may paralyze the foe.	src/data/moves_info.h	2187	Measured
MOVE_THUNDER_WAVE	Thunder Wave	TYPE_ELECTRIC	STATUS	0	90	20	0	EFFECT_PARALYZE	SELECTED	NONE	A weak jolt of electricity  that paralyzes the foe.	src/data/moves_info.h	2212	Measured
MOVE_THUNDER	Thunder	TYPE_ELECTRIC	SPECIAL	110	70	10	0	EFFECT_THUNDER	SELECTED	NONE	A lightning attack that may  cause paralysis.	src/data/moves_info.h	2235	Measured
MOVE_ROCK_THROW	Rock Throw	TYPE_ROCK	PHYSICAL	50	100	15	0	EFFECT_HIT	SELECTED	NONE	Throws small rocks to  strike the foe.	src/data/moves_info.h	2261	Measured
MOVE_EARTHQUAKE	Earthquake	TYPE_GROUND	PHYSICAL	100	100	10	0	EFFECT_EARTHQUAKE	FOES_AND_ALLY	NONE	A powerful quake, but has  no effect on flying foes.	src/data/moves_info.h	2282	Measured
MOVE_FISSURE	Fissure	TYPE_GROUND	PHYSICAL	1	30	5	0	EFFECT_OHKO	SELECTED	NONE	A one-hit KO move that  drops the foe in a fissure.	src/data/moves_info.h	2306	Measured
MOVE_DIG	Dig	TYPE_GROUND	PHYSICAL	80	100	10	0	EFFECT_SEMI_INVULNERABLE	SELECTED	makesContact	Digs underground the first  turn and strikes next turn.	src/data/moves_info.h	2329	Measured
MOVE_TOXIC	Toxic	TYPE_POISON	STATUS	0	90	10	0	EFFECT_TOXIC	SELECTED	NONE	Poisons the foe with an  intensifying toxin.	src/data/moves_info.h	2356	Measured
MOVE_CONFUSION	Confusion	TYPE_PSYCHIC	SPECIAL	50	100	25	0	EFFECT_HIT	SELECTED	NONE	A psychic attack that may  cause confusion.	src/data/moves_info.h	2379	Measured
MOVE_PSYCHIC	Psychic	TYPE_PSYCHIC	SPECIAL	90	100	10	0	EFFECT_HIT	SELECTED	NONE	A powerful psychic attack  that may lower Sp. Def.	src/data/moves_info.h	2404	Measured
MOVE_HYPNOSIS	Hypnosis	TYPE_PSYCHIC	STATUS	0	60	20	0	EFFECT_SLEEP	SELECTED	NONE	A hypnotizing move that  may induce sleep.	src/data/moves_info.h	2429	Measured
MOVE_MEDITATE	Meditate	TYPE_PSYCHIC	STATUS	0	0	40	0	EFFECT_ATTACK_UP	USER	ignoresProtect	Meditates in a peaceful  fashion to raise Attack.	src/data/moves_info.h	2452	Measured
MOVE_AGILITY	Agility	TYPE_PSYCHIC	STATUS	0	0	30	0	EFFECT_SPEED_UP_2	USER	ignoresProtect	Relaxes the body to sharply  boost Speed.	src/data/moves_info.h	2477	Measured
MOVE_QUICK_ATTACK	Quick Attack	TYPE_NORMAL	PHYSICAL	40	100	30	1	EFFECT_HIT	SELECTED	makesContact	An extremely fast attack  that always strikes first.	src/data/moves_info.h	2502	Measured
MOVE_RAGE	Rage	TYPE_NORMAL	PHYSICAL	20	100	20	0	EFFECT_RAGE	SELECTED	makesContact	Raises the user's Attack  every time it is hit.	src/data/moves_info.h	2524	Measured
MOVE_TELEPORT	Teleport	TYPE_PSYCHIC	STATUS	0	0	20	-6	EFFECT_TELEPORT	USER	ignoresProtect	A psychic move for fleeing  from battle instantly.	src/data/moves_info.h	2546	Measured
MOVE_NIGHT_SHADE	Night Shade	TYPE_GHOST	SPECIAL	1	100	15	0	EFFECT_LEVEL_DAMAGE	SELECTED	NONE	Inflicts damage identical  to the user's level.	src/data/moves_info.h	2570	Measured
MOVE_MIMIC	Mimic	TYPE_NORMAL	STATUS	0	0	10	0	EFFECT_MIMIC	SELECTED	ignoresSubstitute	Copies a move used by the  foe during one battle.	src/data/moves_info.h	2591	Measured
MOVE_SCREECH	Screech	TYPE_NORMAL	STATUS	0	85	40	0	EFFECT_DEFENSE_DOWN_2	SELECTED	soundMove	Emits a screech to sharply  reduce the foe's Defense.	src/data/moves_info.h	2621	Measured
MOVE_DOUBLE_TEAM	Double Team	TYPE_NORMAL	STATUS	0	0	15	0	EFFECT_EVASION_UP	USER	ignoresProtect	Creates illusory copies to  raise evasiveness.	src/data/moves_info.h	2646	Measured
MOVE_RECOVER	Recover	TYPE_NORMAL	STATUS	0	0	5	0	EFFECT_RESTORE_HP	USER	ignoresProtect,healingMove	Recovers up to half the  user's maximum HP.	src/data/moves_info.h	2671	Measured
MOVE_HARDEN	Harden	TYPE_NORMAL	STATUS	0	0	30	0	EFFECT_DEFENSE_UP	USER	ignoresProtect	Stiffens the body's   muscles to raise Defense.	src/data/moves_info.h	2697	Measured
MOVE_MINIMIZE	Minimize	TYPE_NORMAL	STATUS	0	0	10	0	EFFECT_MINIMIZE	USER	ignoresProtect	Minimizes the user's size  to raise evasiveness.	src/data/moves_info.h	2722	Measured
MOVE_SMOKESCREEN	Smokescreen	TYPE_NORMAL	STATUS	0	100	20	0	EFFECT_ACCURACY_DOWN	SELECTED	NONE	Lowers the foe's accuracy  using smoke, ink, etc.	src/data/moves_info.h	2747	Measured
MOVE_CONFUSE_RAY	Confuse Ray	TYPE_GHOST	STATUS	0	100	10	0	EFFECT_CONFUSE	SELECTED	NONE	A sinister ray that  confuses the foe.	src/data/moves_info.h	2770	Measured
MOVE_WITHDRAW	Withdraw	TYPE_WATER	STATUS	0	0	40	0	EFFECT_DEFENSE_UP	USER	ignoresProtect	Withdraws the body into its  hard shell to raise Defense.	src/data/moves_info.h	2793	Measured
MOVE_DEFENSE_CURL	Defense Curl	TYPE_NORMAL	STATUS	0	0	40	0	EFFECT_DEFENSE_CURL	USER	ignoresProtect	Curls up to conceal weak  spots and raise Defense.	src/data/moves_info.h	2818	Measured
MOVE_BARRIER	Barrier	TYPE_PSYCHIC	STATUS	0	0	20	0	EFFECT_DEFENSE_UP_2	USER	ignoresProtect	Creates a barrier that  sharply raises Defense.	src/data/moves_info.h	2843	Measured
MOVE_LIGHT_SCREEN	Light Screen	TYPE_PSYCHIC	STATUS	0	0	30	0	EFFECT_LIGHT_SCREEN	USER	ignoresProtect	Creates a wall of light that  lowers Sp. Atk damage.	src/data/moves_info.h	2868	Measured
MOVE_HAZE	Haze	TYPE_ICE	STATUS	0	0	30	0	EFFECT_HAZE	ALL_BATTLERS	ignoresProtect,ignoresSubstitute	Creates a black haze that  eliminates all stat changes.	src/data/moves_info.h	2893	Measured
MOVE_REFLECT	Reflect	TYPE_PSYCHIC	STATUS	0	0	20	0	EFFECT_REFLECT	USER	ignoresProtect	Creates a wall of light that  weakens physical attacks.	src/data/moves_info.h	2918	Measured
MOVE_FOCUS_ENERGY	Focus Energy	TYPE_NORMAL	STATUS	0	0	30	0	EFFECT_FOCUS_ENERGY	USER	ignoresProtect	Focuses power to raise the  critical-hit ratio.	src/data/moves_info.h	2943	Measured
MOVE_BIDE	Bide	TYPE_NORMAL	PHYSICAL	1	0	10	1	EFFECT_BIDE	USER	makesContact	Endures attack for 2  turns to retaliate double.	src/data/moves_info.h	2969	Measured
MOVE_METRONOME	Metronome	TYPE_NORMAL	STATUS	0	0	10	0	EFFECT_METRONOME	DEPENDS	ignoresProtect	Waggles a finger to use any  Pokémon move at random.	src/data/moves_info.h	2994	Measured
MOVE_MIRROR_MOVE	Mirror Move	TYPE_FLYING	STATUS	0	0	20	0	EFFECT_MIRROR_MOVE	DEPENDS	NONE	Counters the foe's attack  with the same move.	src/data/moves_info.h	3024	Measured
MOVE_SELF_DESTRUCT	Self-Destruct	TYPE_NORMAL	PHYSICAL	100	100	5	0	EFFECT_EXPLOSION	FOES_AND_ALLY	NONE	Inflicts severe damage but  makes the user faint.	src/data/moves_info.h	3053	Measured
MOVE_EGG_BOMB	Egg Bomb	TYPE_NORMAL	PHYSICAL	100	75	10	0	EFFECT_HIT	SELECTED	ballisticMove	An egg is forcibly hurled at  the foe.	src/data/moves_info.h	3075	Measured
MOVE_LICK	Lick	TYPE_GHOST	PHYSICAL	30	100	30	0	EFFECT_HIT	SELECTED	makesContact	Licks with a long tongue to  injure. May also paralyze.	src/data/moves_info.h	3097	Measured
MOVE_SMOG	Smog	TYPE_POISON	SPECIAL	30	70	20	0	EFFECT_HIT	SELECTED	NONE	An exhaust-gas attack  that may also poison.	src/data/moves_info.h	3123	Measured
MOVE_SLUDGE	Sludge	TYPE_POISON	SPECIAL	65	100	20	0	EFFECT_HIT	SELECTED	NONE	Sludge is hurled to inflict  damage. May also poison.	src/data/moves_info.h	3148	Measured
MOVE_BONE_CLUB	Bone Club	TYPE_GROUND	PHYSICAL	65	85	20	0	EFFECT_HIT	SELECTED	NONE	Clubs the foe with a bone.  May cause flinching.	src/data/moves_info.h	3173	Measured
MOVE_FIRE_BLAST	Fire Blast	TYPE_FIRE	SPECIAL	110	85	5	0	EFFECT_HIT	SELECTED	NONE	Incinerates everything it  strikes. May cause a burn.	src/data/moves_info.h	3199	Measured
MOVE_WATERFALL	Waterfall	TYPE_WATER	PHYSICAL	80	100	15	0	EFFECT_HIT	SELECTED	makesContact	Charges the foe with speed  to climb waterfalls.	src/data/moves_info.h	3224	Measured
MOVE_CLAMP	Clamp	TYPE_WATER	PHYSICAL	35	85	15	0	EFFECT_HIT	SELECTED	makesContact	Traps and squeezes the  foe for   turns.	src/data/moves_info.h	3252	Measured
