species_const	species_name	earliest_cp	entry_reason	availability_confidence	in_pool
SPECIES_NIDORAN_M	Nidoran♂	1	wild	Asserted	TRUE
SPECIES_NIDORINO	Nidorino	2	evolution:EVO_LEVEL@16:from SPECIES_NIDORAN_M	Derived	TRUE
SPECIES_NIDOKING	Nidoking	13	evolution:EVO_ITEM:ITEM_MOON_STONE	Derived	TRUE
SPECIES_CLEFFA	Cleffa	13	wild	Asserted	TRUE
SPECIES_CLEFAIRY	Clefairy	3	wild	Asserted	TRUE
SPECIES_CLEFABLE	Clefable	13	evolution:EVO_ITEM:ITEM_MOON_STONE	Derived	TRUE
SPECIES_VULPIX	Vulpix	1	wild	Asserted	TRUE
SPECIES_NINETALES	Ninetales	1	evolution:EVO_ITEM:ITEM_FIRE_STONE	Derived	TRUE
SPECIES_VULPIX_ALOLA	Vulpix	1	wild	Asserted	TRUE
SPECIES_NINETALES_ALOLA	Ninetales	5	evolution:EVO_ITEM:ITEM_ICE_STONE	Derived	TRUE
SPECIES_IGGLYBUFF	Igglybuff	1	starter:game_start	Measured	TRUE
SPECIES_JIGGLYPUFF	Jigglypuff	1	evolution:EVO_FRIENDSHIP:0:from SPECIES_IGGLYBUFF	Inferred	TRUE
SPECIES_WIGGLYTUFF	Wigglytuff	13	evolution:EVO_ITEM:ITEM_MOON_STONE	Derived	TRUE
SPECIES_ZUBAT	Zubat	3	wild	Asserted	TRUE
SPECIES_GOLBAT	Golbat	3	evolution:EVO_LEVEL@22:from SPECIES_ZUBAT	Derived	TRUE
SPECIES_CROBAT	Crobat	3	evolution:EVO_FRIENDSHIP:0:from SPECIES_GOLBAT	Inferred	TRUE
SPECIES_ODDISH	Oddish	1	wild	Asserted	TRUE
SPECIES_GLOOM	Gloom	2	evolution:EVO_LEVEL@16:from SPECIES_ODDISH	Derived	TRUE
SPECIES_VILEPLUME	Vileplume	11	evolution:EVO_ITEM:ITEM_LEAF_STONE	Derived	TRUE
SPECIES_BELLOSSOM	Bellossom	2	evolution:EVO_ITEM:ITEM_SUN_STONE	Derived	TRUE
SPECIES_PARAS	Paras	3	wild	Asserted	TRUE
SPECIES_PARASECT	Parasect	3	evolution:EVO_LEVEL@23:from SPECIES_PARAS	Derived	TRUE
SPECIES_VENONAT	Venonat	3	wild	Asserted	TRUE
SPECIES_VENOMOTH	Venomoth	4	evolution:EVO_LEVEL@27:from SPECIES_VENONAT	Derived	TRUE
SPECIES_DIGLETT	Diglett	3	wild	Asserted	TRUE
SPECIES_DUGTRIO	Dugtrio	3	evolution:EVO_LEVEL@22:from SPECIES_DIGLETT	Derived	TRUE
SPECIES_DIGLETT_ALOLA	Diglett	3	wild	Asserted	TRUE
SPECIES_DUGTRIO_ALOLA	Dugtrio	3	evolution:EVO_LEVEL@22:from SPECIES_DIGLETT_ALOLA	Derived	TRUE
SPECIES_MEOWTH	Meowth	1	wild	Asserted	TRUE
SPECIES_PERSIAN	Persian	4	evolution:EVO_LEVEL@28:from SPECIES_MEOWTH	Derived	TRUE
SPECIES_MEOWTH_ALOLA	Meowth	1	wild	Asserted	TRUE
SPECIES_PERSIAN_ALOLA	Persian	4	evolution:EVO_LEVEL@28:from SPECIES_MEOWTH_ALOLA	Derived	TRUE
SPECIES_MEOWTH_GALAR	Meowth	1	wild	Asserted	TRUE
SPECIES_PERRSERKER	Perrserker	4	evolution:EVO_LEVEL@28:from SPECIES_MEOWTH_GALAR	Derived	TRUE
SPECIES_MEOWTH_GMAX	Meowth	UNK	no path found	UNK	FALSE
SPECIES_PSYDUCK	Psyduck	4	wild	Asserted	TRUE
SPECIES_GOLDUCK	Golduck	4	wild	Asserted	TRUE
SPECIES_MANKEY	Mankey	1	starter:game_start	Measured	TRUE
SPECIES_PRIMEAPE	Primeape	4	evolution:EVO_LEVEL@28:from SPECIES_MANKEY	Derived	TRUE
SPECIES_ANNIHILAPE	Annihilape	4	evolution:EVO_MOVE:MOVE_SHADOW_PUNCH:from SPECIES_PRIMEAPE	Inferred	TRUE
SPECIES_GROWLITHE	Growlithe	1	wild	Asserted	TRUE
SPECIES_ARCANINE	Arcanine	1	evolution:EVO_ITEM:ITEM_FIRE_STONE	Derived	TRUE
SPECIES_GROWLITHE_HISUI	Growlithe	7	wild	Asserted	TRUE
SPECIES_ARCANINE_HISUI	Arcanine	7	evolution:EVO_ITEM:ITEM_FIRE_STONE	Derived	TRUE
SPECIES_POLIWAG	Poliwag	1	wild	Asserted	TRUE
SPECIES_POLIWHIRL	Poliwhirl	3	evolution:EVO_LEVEL@25:from SPECIES_POLIWAG	Derived	TRUE
SPECIES_POLIWRATH	Poliwrath	3	evolution:EVO_ITEM:ITEM_WATER_STONE	Derived	TRUE
SPECIES_POLITOED	Politoed	13	evolution:EVO_TRADE_ITEM:ITEM_KINGS_ROCK	Derived	TRUE
SPECIES_ABRA	Abra	1	wild	Asserted	TRUE
SPECIES_KADABRA	Kadabra	2	evolution:EVO_LEVEL@16:from SPECIES_ABRA	Derived	TRUE
SPECIES_ALAKAZAM	Alakazam	2	evolution:EVO_TRADE:0:from SPECIES_KADABRA	Inferred	TRUE
SPECIES_ALAKAZAM_MEGA	Alakazam	2	mega/primal form of SPECIES_ALAKAZAM (stone not resolved)	Inferred	TRUE
SPECIES_MACHOP	Machop	1	starter:game_start	Measured	TRUE
SPECIES_MACHOKE	Machoke	4	evolution:EVO_LEVEL@28:from SPECIES_MACHOP	Derived	TRUE
SPECIES_MACHAMP	Machamp	4	evolution:EVO_TRADE:0:from SPECIES_MACHOKE	Inferred	TRUE
SPECIES_MACHAMP_MEGA	Machamp	4	mega/primal form of SPECIES_MACHAMP (stone not resolved)	Inferred	TRUE
SPECIES_BELLSPROUT	Bellsprout	6	wild	Asserted	TRUE
SPECIES_WEEPINBELL	Weepinbell	6	evolution:EVO_LEVEL@21:from SPECIES_BELLSPROUT	Derived	TRUE
SPECIES_VICTREEBEL	Victreebel	11	evolution:EVO_ITEM:ITEM_LEAF_STONE	Derived	TRUE
SPECIES_TENTACOOL	Tentacool	3	wild	Asserted	TRUE
SPECIES_TENTACRUEL	Tentacruel	3	wild	Asserted	TRUE
SPECIES_GEODUDE	Geodude	1	starter:game_start	Measured	TRUE
SPECIES_GRAVELER	Graveler	3	evolution:EVO_LEVEL@23:from SPECIES_GEODUDE	Derived	TRUE
SPECIES_GOLEM	Golem	3	evolution:EVO_TRADE:0:from SPECIES_GRAVELER	Inferred	TRUE
SPECIES_GEODUDE_ALOLA	Geodude	1	starter:game_start	Measured	TRUE
SPECIES_GRAVELER_ALOLA	Graveler	3	evolution:EVO_LEVEL@23:from SPECIES_GEODUDE_ALOLA	Derived	TRUE
SPECIES_GOLEM_ALOLA	Golem	3	evolution:EVO_TRADE:0:from SPECIES_GRAVELER_ALOLA	Inferred	TRUE
SPECIES_PONYTA	Ponyta	4	wild	Asserted	TRUE
SPECIES_RAPIDASH	Rapidash	4	evolution:EVO_LEVEL@28:from SPECIES_PONYTA	Derived	TRUE
SPECIES_PONYTA_GALAR	Ponyta	1	wild	Asserted	TRUE
SPECIES_RAPIDASH_GALAR	Rapidash	4	evolution:EVO_LEVEL@28:from SPECIES_PONYTA_GALAR	Derived	TRUE
SPECIES_SLOWPOKE	Slowpoke	1	wild	Asserted	TRUE
SPECIES_SLOWBRO	Slowbro	1	wild	Asserted	TRUE
SPECIES_SLOWKING	Slowking	1	wild	Asserted	TRUE
SPECIES_SLOWBRO_MEGA	Slowbro	1	mega/primal form of SPECIES_SLOWBRO (stone not resolved)	Inferred	TRUE
SPECIES_SLOWPOKE_GALAR	Slowpoke	1	wild	Asserted	TRUE
SPECIES_SLOWBRO_GALAR	Slowbro	1	wild	Asserted	TRUE
SPECIES_SLOWKING_GALAR	Slowking	1	wild	Asserted	TRUE
SPECIES_MAGNEMITE	Magnemite	2	wild	Asserted	TRUE
SPECIES_MAGNETON	Magneton	4	evolution:EVO_LEVEL@30:from SPECIES_MAGNEMITE	Derived	TRUE
SPECIES_MAGNEZONE	Magnezone	4	evolution:EVO_MAPSEC:MAPSEC_NEW_MAUVILLE:from SPECIES_MAGNETON	Inferred	TRUE
SPECIES_FARFETCHD	Farfetch'd	6	wild	Asserted	TRUE
SPECIES_FARFETCHD_GALAR	Farfetch'd	1	wild	Asserted	TRUE
SPECIES_SIRFETCHD	Sirfetch'd	4	evolution:EVO_LEVEL@30:from SPECIES_FARFETCHD_GALAR	Derived	TRUE
SPECIES_DODUO	Doduo	7	wild	Asserted	TRUE
SPECIES_DODRIO	Dodrio	7	evolution:EVO_LEVEL@31:from SPECIES_DODUO	Derived	TRUE
SPECIES_SEEL	Seel	7	wild	Asserted	TRUE
SPECIES_DEWGONG	Dewgong	7	wild	Asserted	TRUE
SPECIES_GRIMER	Grimer	6	wild	Asserted	TRUE
SPECIES_MUK	Muk	6	wild	Asserted	TRUE
SPECIES_GRIMER_ALOLA	Grimer	6	wild	Asserted	TRUE
SPECIES_MUK_ALOLA	Muk	6	wild	Asserted	TRUE
SPECIES_SHELLDER	Shellder	7	wild	Asserted	TRUE
SPECIES_CLOYSTER	Cloyster	7	wild	Asserted	TRUE
SPECIES_GASTLY	Gastly	1	starter:game_start	Measured	TRUE
SPECIES_HAUNTER	Haunter	3	evolution:EVO_LEVEL@23:from SPECIES_GASTLY	Derived	TRUE
SPECIES_GENGAR	Gengar	3	evolution:EVO_TRADE:0:from SPECIES_HAUNTER	Inferred	TRUE
SPECIES_GENGAR_MEGA	Gengar	3	mega/primal form of SPECIES_GENGAR (stone not resolved)	Inferred	TRUE
SPECIES_GENGAR_GMAX	Gengar	UNK	no path found	UNK	FALSE
SPECIES_ONIX	Onix	6	wild	Asserted	TRUE
SPECIES_STEELIX	Steelix	13	evolution:EVO_TRADE_ITEM:ITEM_METAL_COAT	Derived	TRUE
SPECIES_STEELIX_MEGA	Steelix	13	mega/primal form of SPECIES_STEELIX (stone not resolved)	Inferred	TRUE
SPECIES_DROWZEE	Drowzee	1	wild	Asserted	TRUE
SPECIES_HYPNO	Hypno	4	evolution:EVO_LEVEL@26:from SPECIES_DROWZEE	Derived	TRUE
SPECIES_KRABBY	Krabby	1	wild	Asserted	TRUE
SPECIES_KINGLER	Kingler	1	wild	Asserted	TRUE
SPECIES_KINGLER_MEGA	Kingler	1	mega/primal form of SPECIES_KINGLER (stone not resolved)	Inferred	TRUE
SPECIES_VOLTORB	Voltorb	6	wild	Asserted	TRUE
SPECIES_ELECTRODE	Electrode	6	evolution:EVO_LEVEL@28:from SPECIES_VOLTORB	Derived	TRUE
SPECIES_VOLTORB_HISUI	Voltorb	6	wild	Asserted	TRUE
SPECIES_ELECTRODE_HISUI	Electrode	11	evolution:EVO_ITEM:ITEM_LEAF_STONE	Derived	TRUE
SPECIES_EXEGGCUTE	Exeggcute	1	wild	Asserted	TRUE
SPECIES_EXEGGUTOR	Exeggutor	11	evolution:EVO_ITEM:ITEM_LEAF_STONE	Derived	TRUE
SPECIES_EXEGGUTOR_ALOLA	Exeggutor	1	evolution:EVO_ITEM:ITEM_SUN_STONE	Derived	TRUE
SPECIES_CUBONE	Cubone	2	wild	Asserted	TRUE
SPECIES_MAROWAK	Marowak	4	evolution:EVO_LEVEL_DAY@28:from SPECIES_CUBONE	Derived	TRUE
SPECIES_MAROWAK_ALOLA	Marowak	4	evolution:EVO_LEVEL_NIGHT@28:from SPECIES_CUBONE	Derived	TRUE
SPECIES_MAROWAK_ALOLA_TOTEM	Marowak	2	evolution:EVO_NONE:0:from SPECIES_CUBONE	Inferred	TRUE
SPECIES_TYROGUE	Tyrogue	UNK	no path found	UNK	FALSE
SPECIES_HITMONLEE	Hitmonlee	UNK	no path found	UNK	FALSE
SPECIES_HITMONCHAN	Hitmonchan	UNK	no path found	UNK	FALSE
SPECIES_HITMONTOP	Hitmontop	UNK	no path found	UNK	FALSE
SPECIES_LICKITUNG	Lickitung	3	wild	Asserted	TRUE
SPECIES_LICKILICKY	Lickilicky	3	evolution:EVO_MOVE:MOVE_ROLLOUT:from SPECIES_LICKITUNG	Inferred	TRUE
SPECIES_KOFFING	Koffing	1	starter:game_start	Measured	TRUE
SPECIES_WEEZING	Weezing	7	evolution:EVO_LEVEL_DAY@35:from SPECIES_KOFFING	Derived	TRUE
SPECIES_WEEZING_GALAR	Weezing	7	evolution:EVO_LEVEL_NIGHT@35:from SPECIES_KOFFING	Derived	TRUE
SPECIES_RHYHORN	Rhyhorn	9	wild	Asserted	TRUE
SPECIES_RHYDON	Rhydon	7	wild	Asserted	TRUE
SPECIES_RHYPERIOR	Rhyperior	13	evolution:EVO_ITEM:ITEM_LINKING_CORD	Derived	TRUE
SPECIES_HAPPINY	Happiny	13	wild	Asserted	TRUE
SPECIES_CHANSEY	Chansey	13	wild	Asserted	TRUE
SPECIES_BLISSEY	Blissey	13	evolution:EVO_FRIENDSHIP:0:from SPECIES_CHANSEY	Inferred	TRUE
SPECIES_TANGELA	Tangela	1	wild	Asserted	TRUE
SPECIES_TANGROWTH	Tangrowth	1	evolution:EVO_MOVE:MOVE_ANCIENT_POWER:from SPECIES_TANGELA	Inferred	TRUE
SPECIES_KANGASKHAN	Kangaskhan	9	wild	Asserted	TRUE
SPECIES_KANGASKHAN_MEGA	Kangaskhan	9	mega/primal form of SPECIES_KANGASKHAN (stone not resolved)	Inferred	TRUE
SPECIES_HORSEA	Horsea	1	wild	Asserted	TRUE
SPECIES_SEADRA	Seadra	1	wild	Asserted	TRUE
SPECIES_KINGDRA	Kingdra	13	evolution:EVO_ITEM:ITEM_PRISM_SCALE	Derived	TRUE
SPECIES_GOLDEEN	Goldeen	1	wild	Asserted	TRUE
SPECIES_SEAKING	Seaking	3	wild	Asserted	TRUE
SPECIES_STARYU	Staryu	3	wild	Asserted	TRUE
SPECIES_STARMIE	Starmie	3	wild	Asserted	TRUE
SPECIES_MIME_JR	Mime Jr.	9	wild	Asserted	TRUE
SPECIES_MR_MIME	Mr. Mime	9	evolution:EVO_MOVE:MOVE_MIMIC:from SPECIES_MIME_JR	Inferred	TRUE
SPECIES_MR_MIME_GALAR	Mr. Mime	9	evolution:EVO_ITEM:ITEM_ICE_STONE	Derived	TRUE
SPECIES_MR_RIME	Mr. Rime	9	wild	Asserted	TRUE
SPECIES_SCYTHER	Scyther	3	wild	Asserted	TRUE
SPECIES_SCIZOR	Scizor	13	evolution:EVO_TRADE_ITEM:ITEM_METAL_COAT	Derived	TRUE
SPECIES_SCIZOR_MEGA	Scizor	13	mega/primal form of SPECIES_SCIZOR (stone not resolved)	Inferred	TRUE
SPECIES_KLEAVOR	Kleavor	13	evolution:EVO_ITEM:ITEM_KINGS_ROCK	Derived	TRUE
SPECIES_SMOOCHUM	Smoochum	3	wild	Asserted	TRUE
SPECIES_JYNX	Jynx	4	evolution:EVO_LEVEL@27:from SPECIES_SMOOCHUM	Derived	TRUE
SPECIES_ELEKID	Elekid	UNK	no path found	UNK	FALSE
SPECIES_ELECTABUZZ	Electabuzz	7	wild	Asserted	TRUE
SPECIES_ELECTIVIRE	Electivire	13	evolution:EVO_ITEM:ITEM_LINKING_CORD	Derived	TRUE
SPECIES_MAGBY	Magby	1	wild	Asserted	TRUE
SPECIES_MAGMAR	Magmar	4	evolution:EVO_LEVEL@27:from SPECIES_MAGBY	Derived	TRUE
SPECIES_MAGMORTAR	Magmortar	13	evolution:EVO_ITEM:ITEM_LINKING_CORD	Derived	TRUE
SPECIES_PINSIR	Pinsir	3	wild	Asserted	TRUE
SPECIES_PINSIR_MEGA	Pinsir	3	mega/primal form of SPECIES_PINSIR (stone not resolved)	Inferred	TRUE
SPECIES_TAUROS	Tauros	7	wild	Asserted	TRUE
SPECIES_TAUROS_PALDEA_COMBAT	Tauros	7	wild	Asserted	TRUE
SPECIES_TAUROS_PALDEA_BLAZE	Tauros	7	wild	Asserted	TRUE
SPECIES_TAUROS_PALDEA_AQUA	Tauros	3	wild	Asserted	TRUE
SPECIES_MAGIKARP	Magikarp	3	wild	Asserted	TRUE
SPECIES_GYARADOS	Gyarados	3	wild	Asserted	TRUE
SPECIES_GYARADOS_MEGA	Gyarados	3	mega/primal form of SPECIES_GYARADOS (stone not resolved)	Inferred	TRUE
SPECIES_LAPRAS	Lapras	3	wild	Asserted	TRUE
SPECIES_LAPRAS_MEGA	Lapras	3	mega/primal form of SPECIES_LAPRAS (stone not resolved)	Inferred	TRUE
SPECIES_DITTO	Ditto	9	wild	Asserted	TRUE
SPECIES_EEVEE	Eevee	UNK	no path found	UNK	FALSE
SPECIES_EEVEE_GMAX	Eevee	UNK	no path found	UNK	FALSE
SPECIES_EEVEE_STARTER	Eevee	UNK	no path found	UNK	FALSE
SPECIES_VAPOREON	Vaporeon	UNK	no path found	UNK	FALSE
SPECIES_JOLTEON	Jolteon	UNK	no path found	UNK	FALSE
SPECIES_FLAREON	Flareon	UNK	no path found	UNK	FALSE
SPECIES_ESPEON	Espeon	UNK	no path found	UNK	FALSE
SPECIES_UMBREON	Umbreon	UNK	no path found	UNK	FALSE
SPECIES_LEAFEON	Leafeon	UNK	no path found	UNK	FALSE
SPECIES_GLACEON	Glaceon	UNK	no path found	UNK	FALSE
SPECIES_SYLVEON	Sylveon	UNK	no path found	UNK	FALSE
SPECIES_PORYGON	Porygon	6	wild	Asserted	TRUE
SPECIES_PORYGON2	Porygon2	13	evolution:EVO_ITEM:ITEM_LINKING_CORD	Derived	TRUE
SPECIES_PORYGON_Z	Porygon-Z	13	evolution:EVO_ITEM:ITEM_DUSK_STONE	Derived	TRUE
SPECIES_OMANYTE	Omanyte	19	wild	Asserted	TRUE
SPECIES_OMASTAR	Omastar	19	evolution:EVO_LEVEL@34:from SPECIES_OMANYTE	Derived	TRUE
SPECIES_KABUTO	Kabuto	19	wild	Asserted	TRUE
SPECIES_KABUTOPS	Kabutops	19	evolution:EVO_LEVEL@34:from SPECIES_KABUTO	Derived	TRUE
SPECIES_AERODACTYL	Aerodactyl	7	wild	Asserted	TRUE
SPECIES_AERODACTYL_MEGA	Aerodactyl	7	mega/primal form of SPECIES_AERODACTYL (stone not resolved)	Inferred	TRUE
SPECIES_MUNCHLAX	Munchlax	7	wild	Asserted	TRUE
SPECIES_SNORLAX	Snorlax	7	evolution:EVO_LEVEL@30:from SPECIES_MUNCHLAX	Derived	TRUE
SPECIES_SNORLAX_MEGA	Snorlax	7	mega/primal form of SPECIES_SNORLAX (stone not resolved)	Inferred	TRUE
SPECIES_ARTICUNO	Articuno	UNK	no path found	UNK	FALSE
SPECIES_ARTICUNO_GALAR	Articuno	UNK	no path found	UNK	FALSE
SPECIES_ZAPDOS	Zapdos	UNK	no path found	UNK	FALSE
SPECIES_ZAPDOS_GALAR	Zapdos	UNK	no path found	UNK	FALSE
SPECIES_MOLTRES	Moltres	UNK	no path found	UNK	FALSE
SPECIES_MOLTRES_GALAR	Moltres	UNK	no path found	UNK	FALSE
SPECIES_DRATINI	Dratini	1	starter:game_start	Measured	TRUE
SPECIES_DRAGONAIR	Dragonair	3	wild	Asserted	TRUE
SPECIES_DRAGONITE	Dragonite	9	evolution:EVO_LEVEL@55:from SPECIES_DRAGONAIR	Derived	TRUE
SPECIES_MEWTWO	Mewtwo	UNK	no path found	UNK	FALSE
SPECIES_MEWTWO_MEGA_X	Mewtwo	UNK	no path found	UNK	FALSE
SPECIES_MEWTWO_MEGA_Y	Mewtwo	UNK	no path found	UNK	FALSE
SPECIES_MEW	Mew	UNK	no path found	UNK	FALSE
SPECIES_CHIKORITA	Chikorita	1	starter:game_start	Measured	TRUE
SPECIES_BAYLEEF	Bayleef	2	evolution:EVO_LEVEL@16:from SPECIES_CHIKORITA	Derived	TRUE
SPECIES_MEGANIUM	Meganium	7	evolution:EVO_LEVEL@36:from SPECIES_BAYLEEF	Derived	TRUE
SPECIES_CYNDAQUIL	Cyndaquil	1	starter:game_start	Measured	TRUE
SPECIES_QUILAVA	Quilava	2	evolution:EVO_LEVEL@16:from SPECIES_CYNDAQUIL	Derived	TRUE
SPECIES_TYPHLOSION	Typhlosion	7	evolution:EVO_LEVEL_DAY@36:from SPECIES_QUILAVA	Derived	TRUE
SPECIES_TYPHLOSION_HISUI	Typhlosion	7	evolution:EVO_LEVEL_NIGHT@36:from SPECIES_QUILAVA	Derived	TRUE
SPECIES_TOTODILE	Totodile	1	starter:game_start	Measured	TRUE
SPECIES_CROCONAW	Croconaw	2	evolution:EVO_LEVEL@16:from SPECIES_TOTODILE	Derived	TRUE
SPECIES_FERALIGATR	Feraligatr	7	evolution:EVO_LEVEL@36:from SPECIES_CROCONAW	Derived	TRUE
SPECIES_SENTRET	Sentret	7	wild	Asserted	TRUE
SPECIES_FURRET	Furret	7	evolution:EVO_LEVEL@15:from SPECIES_SENTRET	Derived	TRUE
SPECIES_HOOTHOOT	Hoothoot	1	wild	Asserted	TRUE
SPECIES_NOCTOWL	Noctowl	2	evolution:EVO_LEVEL@16:from SPECIES_HOOTHOOT	Derived	TRUE
SPECIES_LEDYBA	Ledyba	11	wild	Derived	TRUE
