species_const	species_name	checkpoint	roster_cp	roster_borrowed	level	floor_score	floor_moves	ceiling_score	ceiling_track	ceiling_ability	ceiling_nature	ceiling_item	ceiling_moves	ceiling_item_reliable	investment_delta	item_dependence	unreliable_best_item	ceiling_verdict_score	ceiling_win_rate	ceiling_chipped_win_rate	ceiling_outspeeds_rate	ceiling_mean_margin	cells	candidates_tested	beats_sample	loses_to_sample	confidence
SPECIES_PICHU	Pichu	1	1	FALSE	15	0.0	Nasty Plot,Sweet Kiss,Tail Whip,Baby-Doll Eyes	0.9364	physical	ABILITY_STATIC	Adamant	ITEM_FAIRY_FEATHER	Wild Charge,Iron Tail,Play Rough,Thunder Punch	TRUE	0.9364	0.0	NA	0.9237	0.7692	0.7692	1.0	74.731	26	16	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_CLEFAIRY	Clefairy	1	1	FALSE	15	0.1412	Defense Curl,Double Slap,Sing,Spotlight	0.9364	special	ABILITY_CUTE_CHARM	Modest	ITEM_FAIRY_FEATHER	Misty Explosion,Solar Beam,Meteor Beam,Moonblast	TRUE	0.7952	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.692	26	8	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_IGGLYBUFF	Igglybuff	1	1	FALSE	15	0.0035	Copycat,Sweet Kiss,Pound,Defense Curl	0.9364	special	ABILITY_CUTE_CHARM	Modest	ITEM_FAIRY_FEATHER	Hyper Voice,Alluring Voice,Solar Beam,Draining Kiss	TRUE	0.9329	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.115	26	8	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_JIGGLYPUFF	Jigglypuff	1	1	FALSE	15	0.1306	Disable,Disarming Voice,Play Nice,Pound	0.9364	mixed	ABILITY_CUTE_CHARM	Naive	ITEM_FAIRY_FEATHER	Misty Explosion,Hyper Voice,Play Rough,Body Slam	TRUE	0.8058	0.0	NA	0.9237	0.7692	0.7692	0.4231	75.346	26	16	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_BELLOSSOM	Bellossom	1	1	FALSE	15	0.678	Magical Leaf,Leaf Storm,Leaf Blade,Moonblast	0.9364	mixed	ABILITY_CHLOROPHYLL	Rash	ITEM_FAIRY_FEATHER	Leaf Storm,Moonblast,Leaf Blade,Play Rough	TRUE	0.2584	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.692	26	12	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_ANNIHILAPE	Annihilape	1	1	FALSE	15	0.8411	Seismic Toss,Pursuit,Karate Chop,Rock Tomb	0.9364	physical	ABILITY_VITAL_SPIRIT	Adamant	ITEM_WEAKNESS_POLICY	Focus Punch,Phantom Force,Gunk Shot,Close Combat	TRUE	0.0953	0.0	NA	0.9237	0.7692	0.7692	1.0	75.692	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_TENTACRUEL	Tentacruel	1	1	FALSE	15	0.0	Toxic Spikes,Acid,Constrict,Supersonic	0.9364	special	ABILITY_CLEAR_BODY	Modest	ITEM_WEAKNESS_POLICY	Hydro Pump,Sludge Wave,Wring Out,Sludge Bomb	TRUE	0.9364	0.0	NA	0.9237	0.7692	0.7692	1.0	75.885	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_SLOWBRO	Slowbro	1	1	FALSE	15	0.8121	Confusion,Water Pulse,Growl,Heal Pulse	0.9364	special	ABILITY_OBLIVIOUS	Modest	ITEM_WEAKNESS_POLICY	Future Sight,Hydro Pump,Focus Blast,Psychic	TRUE	0.1243	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.692	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_SLOWKING	Slowking	1	1	FALSE	15	0.7768	Confusion,Water Gun,Growl,Chilly Reception	0.9364	special	ABILITY_OBLIVIOUS	Modest	ITEM_WEAKNESS_POLICY	Future Sight,Hydro Pump,Focus Blast,Psychic	TRUE	0.1596	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.692	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_SLOWBRO_MEGA	Slowbro-Mega	1	1	FALSE	15	0.8475	Confusion,Water Pulse,Growl,Heal Pulse	0.9364	special	ABILITY_REGENERATOR	Modest	ITEM_WEAKNESS_POLICY	Future Sight,Hydro Pump,Focus Blast,Psychic	TRUE	0.0889	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.692	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_SLOWKING_GALAR	Slowking-Galar	1	1	FALSE	15	0.7062	Disable,Confusion,Yawn,Power Gem	0.9364	special	ABILITY_OBLIVIOUS	Modest	ITEM_WEAKNESS_POLICY	Future Sight,Sludge Wave,Focus Blast,Psychic	TRUE	0.2302	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.692	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_MUK	Muk	1	1	FALSE	15	0.4131	Sludge,Disable,Mud-Slap,Harden	0.9364	physical	ABILITY_REGENERATOR	Adamant	ITEM_WEAKNESS_POLICY	Gunk Shot,Explosion,Focus Punch,Poison Jab	TRUE	0.5233	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.692	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_MUK_ALOLA	Muk-Alola	1	1	FALSE	15	0.4661	Acid Spray,Disable,Bite,Harden	0.9364	physical	ABILITY_POISON_TOUCH	Adamant	ITEM_WEAKNESS_POLICY	Gunk Shot,Explosion,Focus Punch,Poison Jab	TRUE	0.4703	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.692	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_STEELIX	Steelix	1	1	FALSE	15	0.1589	Rage,Rock Tomb,Rock Throw,Curse	0.9364	physical	ABILITY_ROCK_HEAD	Adamant	ITEM_WEAKNESS_POLICY	Earthquake,Iron Tail,Explosion,High Horsepower	TRUE	0.7775	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.692	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_STEELIX_MEGA	Steelix-Mega	1	1	FALSE	15	0.3178	Rage,Rock Tomb,Rock Throw,Curse	0.9364	physical	ABILITY_HEATPROOF	Adamant	ITEM_WEAKNESS_POLICY	Earthquake,Iron Tail,Explosion,High Horsepower	TRUE	0.6186	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.692	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_WEEZING_GALAR	Weezing-Galar	1	1	FALSE	15	0.6709	Clear Smog,Smog,Double Hit,Strange Steam	0.9364	mixed	ABILITY_LEVITATE	Serious	ITEM_FAIRY_FEATHER	Gunk Shot,Misty Explosion,Sludge Wave,Play Rough	TRUE	0.2655	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.692	26	12	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_KANGASKHAN_MEGA	Kangaskhan-Mega	1	1	FALSE	15	0.6532	Bite,Tail Whip,Fake Out,Comet Punch	0.9364	physical	ABILITY_PARENTAL_BOND	Adamant	ITEM_WEAKNESS_POLICY	Double-Edge,Focus Punch,Earthquake,Body Slam	TRUE	0.2832	0.0	NA	0.9237	0.7692	0.7692	1.0	75.692	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_LAPRAS	Lapras	1	1	FALSE	15	0.8298	Water Pulse,Ice Shard,Confuse Ray,Mist	0.9364	special	ABILITY_WATER_ABSORB	Modest	ITEM_WEAKNESS_POLICY	Draco Meteor,Hydro Pump,Future Sight,Draco Barrage	TRUE	0.1066	0.0	NA	0.9237	0.7692	0.7692	1.0	75.885	26	12	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_LAPRAS_MEGA	Lapras-Mega	1	1	FALSE	15	0.8298	Water Pulse,Ice Shard,Confuse Ray,Mist	0.9364	physical	ABILITY_LIQUID_VOICE	Adamant	ITEM_WEAKNESS_POLICY	Outrage,Liquidation,Megahorn,Waterfall	TRUE	0.1066	0.0	NA	0.9237	0.7692	0.7692	1.0	75.885	26	12	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_SNORLAX	Snorlax	1	1	FALSE	15	0.3001	Lick,Amnesia,Defense Curl,Tackle	0.9364	physical	ABILITY_IMMUNITY	Adamant	ITEM_WEAKNESS_POLICY	Double-Edge,Focus Punch,Gunk Shot,Self-Destruct	TRUE	0.6363	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.692	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_DRAGONITE	Dragonite	1	1	FALSE	15	0.947	Dragon Rage,Twister,Thunder Wave,Extreme Speed	0.9364	physical	ABILITY_INNER_FOCUS	Adamant	ITEM_WEAKNESS_POLICY	Fly,Dragon Claw,Focus Punch,Aerial Ace	TRUE	-0.0106	0.0	NA	0.9237	0.7692	0.7692	1.0	75.692	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_CHIKORITA	Chikorita	1	1	FALSE	15	0.6667	Reflect,Synthesis,Flash,Poison Powder	0.9364	support	ABILITY_OVERGROW	Calm	ITEM_BERRY_JUICE	Leaf Storm,Synthesis,Reflect,Light Screen	TRUE	0.2697	0.0	NA	0.9237	0.7692	0.7692	0.8077	58.077	26	16	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_BAYLEEF	Bayleef	1	1	FALSE	15	0.7726	Synthesis,Flash,Poison Powder,Razor Leaf	0.9364	support	ABILITY_OVERGROW	Calm	ITEM_BERRY_JUICE	Solar Blade,Synthesis,Light Screen,Reflect	TRUE	0.1638	0.0	NA	0.9237	0.7692	0.7692	0.8077	60.538	26	16	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_MEGANIUM	Meganium	1	1	FALSE	15	0.9138	Synthesis,Poison Powder,Razor Leaf,Petal Dance	0.9364	special	ABILITY_OVERGROW	Modest	ITEM_FAIRY_FEATHER	Petal Dance,Misty Explosion,Flash,Solar Beam	TRUE	0.0226	0.0	NA	0.9237	0.7692	0.7692	1.0	75.885	26	12	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_TOGEKISS	Togekiss	1	1	FALSE	15	0.6603	After You,Sky Attack,Extreme Speed,Aura Sphere	0.9364	special	ABILITY_HUSTLE	Modest	ITEM_FAIRY_FEATHER	Moonblast,Air Slash,Future Sight,Dazzling Gleam	TRUE	0.2761	0.0	NA	0.9237	0.7692	0.7692	1.0	75.885	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_AMPHAROS_MEGA	Ampharos-Mega	1	1	FALSE	15	0.1854	Cotton Spore,Thunder Shock,Thunder Wave,Thunder Punch	0.9364	special	ABILITY_THICK_FAT	Modest	ITEM_WEAKNESS_POLICY	Draco Meteor,Zap Cannon,Focus Blast,Thunder	TRUE	0.751	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.692	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_AZURILL	Azurill	1	1	FALSE	15	0.0883	Covet,Charm,Bubble,Water Sport	0.9364	special	ABILITY_THICK_FAT	Modest	ITEM_FAIRY_FEATHER	Hyper Voice,Alluring Voice,Blizzard,Draining Kiss	TRUE	0.8481	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.308	26	16	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_MARILL	Marill	1	1	FALSE	15	0.0247	Body Slam,Covet,Defense Curl,Rollout	0.9364	mixed	ABILITY_THICK_FAT	Serious	ITEM_FAIRY_FEATHER	Hydro Pump,Misty Explosion,Play Rough,Waterfall	TRUE	0.9117	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.5	26	16	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_SKIPLOOM	Skiploom	1	1	FALSE	15	0.06	Stun Spore,Poison Powder,Fairy Wind,Tackle	0.9364	mixed	ABILITY_CHLOROPHYLL	Naive	ITEM_FAIRY_FEATHER	Solar Beam,Fly,Seed Bomb,Dazzling Gleam	TRUE	0.8764	0.0	NA	0.9237	0.7692	0.7692	0.8462	75.692	26	16	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_CLODSIRE	Clodsire	1	1	FALSE	15	0.4237	Toxic Spikes,Poison Tail,Tackle,Mud Shot	0.9364	physical	ABILITY_POISON_TOUCH	Adamant	ITEM_WEAKNESS_POLICY	Gunk Shot,Earthquake,Megahorn,Dig	TRUE	0.5127	0.0	NA	0.9237	0.7692	0.7692	0.8077	74.962	26	8	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_DUDUNSPARCE_TWO_SEGMENT	Dudunsparce-Two-Segment	1	1	FALSE	15	0.4061	Dual Wingbeat,Screech,Pursuit,Spite	0.9364	physical	ABILITY_SERENE_GRACE	Adamant	ITEM_WEAKNESS_POLICY	Body Slam,Earthquake,Iron Tail,Strength	TRUE	0.5303	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.154	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_DUDUNSPARCE_THREE_SEGMENT	Dudunsparce-Three-Segment	1	1	FALSE	15	0.4061	Dual Wingbeat,Screech,Pursuit,Spite	0.9364	physical	ABILITY_SERENE_GRACE	Adamant	ITEM_WEAKNESS_POLICY	Body Slam,Earthquake,Iron Tail,Strength	TRUE	0.5303	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.154	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_SHUCKLE	Shuckle	1	1	FALSE	15	0.0	Struggle Bug,Wrap,Withdraw,Constrict	0.9364	special	ABILITY_STURDY	Modest	ITEM_WEAKNESS_POLICY	Meteor Beam,Struggle Bug,Sludge Wave,Sludge Bomb	TRUE	0.9364	0.0	NA	0.9237	0.7692	0.7692	0.8077	74.923	26	16	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_HERACROSS_MEGA	Heracross-Mega	1	1	FALSE	15	0.6886	Aerial Ace,Feint,Arm Thrust,Bullet Seed	0.9364	physical	ABILITY_SKILL_LINK	Adamant	ITEM_WEAKNESS_POLICY	Focus Punch,Megahorn,Double-Edge,Close Combat	TRUE	0.2478	0.0	NA	0.9237	0.7692	0.7692	1.0	75.692	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_URSALUNA	Ursaluna	1	1	FALSE	15	0.8475	Feint Attack,Fury Swipes,High Horsepower,Body Slam	0.9364	physical	ABILITY_GUTS	Adamant	ITEM_WEAKNESS_POLICY	Earthquake,Body Slam,Focus Punch,High Horsepower	TRUE	0.0889	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.5	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_CORSOLA	Corsola	1	1	FALSE	15	0.7069	Refresh,Bubble Beam,Recover,Bubble	0.9364	special	ABILITY_HUSTLE	Modest	ITEM_WEAKNESS_POLICY	Meteor Beam,Hydro Pump,Blizzard,Surf	TRUE	0.2295	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.692	26	8	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_CORSOLA_GALAR	Corsola-Galar	1	1	FALSE	15	0.2302	Spite,Disable,Astonish,Tackle	0.9364	support	ABILITY_WEAK_ARMOR	Careful	ITEM_BERRY_JUICE	Poltergeist,Light Screen,Reflect,Will-O-Wisp	TRUE	0.7062	0.0	NA	0.9237	0.7692	0.7692	0.6154	7.231	26	8	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_MANTINE	Mantine	1	1	FALSE	15	0.6532	Wing Attack,Confuse Ray,Bubble Beam,Supersonic	0.9364	special	ABILITY_SWIFT_SWIM	Modest	ITEM_WEAKNESS_POLICY	Hydro Pump,Hurricane,Blizzard,Surf	TRUE	0.2832	0.0	NA	0.9237	0.7692	0.7692	1.0	75.885	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_SLAKING	Slaking	1	1	FALSE	15	0.9364	Feint Attack,Slack Off,Encore,Body Slam	0.9364	physical	ABILITY_TRUANT	Adamant	ITEM_WEAKNESS_POLICY	Body Slam,Focus Punch,Gunk Shot,Strength	TRUE	0.0	0.0	NA	0.9237	0.7692	0.7692	1.0	75.692	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_PROBOPASS	Probopass	1	1	FALSE	15	0.3602	Thunder Wave,Magnet Bomb,Block,Iron Defense	0.9364	special	ABILITY_STURDY	Modest	ITEM_WEAKNESS_POLICY	Steel Beam,Meteor Beam,Thunder,Flash Cannon	TRUE	0.5762	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.692	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_SKITTY	Skitty	1	1	FALSE	15	0.0	Disarming Voice,Attract,Sing,Foresight	0.9364	physical	ABILITY_CUTE_CHARM	Adamant	ITEM_FAIRY_FEATHER	Body Slam,Iron Tail,Wild Charge,Play Rough	TRUE	0.9364	0.0	NA	0.9237	0.7692	0.7692	0.8077	74.731	26	8	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_AGGRON	Aggron	1	1	FALSE	15	0.3884	Rock Tomb,Metal Claw,Headbutt,Mud-Slap	0.9364	physical	ABILITY_STURDY	Adamant	ITEM_WEAKNESS_POLICY	Iron Tail,Stone Edge,Focus Punch,Iron Head	TRUE	0.548	0.0	NA	0.9237	0.7692	0.7692	0.8077	75.5	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
