trainer_id	trainer_label	trainer_base	battle_index	role	battle_type	ai_flags	party_size	min_level	max_level	perfect_ivs	has_ev_spread	roster	ivs	evs	source	confidence	checkpoint	checkpoint_method
11	Cooltrainer Marcel	Cooltrainer Marcel	1	route	Singles	Check Bad Move,Try To Faint,Check Viability	2	64	64	FALSE	FALSE	Cloyster:64:UNK:NONE:Hardy:Spike Cannon,Ice Shard,Spikes,Icicle Crash|Carracosta:64:UNK:NONE:Hardy:Rock Slide,Wave Crash,Rain Dance,Hydro Pump	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted	NA	NA
12	Bird Keeper Alberto	Bird Keeper Alberto	1	route	Singles	Check Bad Move	2	58	58	FALSE	FALSE	Salamence:58:UNK:NONE:Hardy:Dragon Claw,Zen Headbutt,Scary Face,Flamethrower|Flygon:58:UNK:NONE:Hardy:Wing Attack,Hyper Beam,Dragon Rush,Sandsear Storm	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted	NA	NA
13	Collector Ed	Collector Ed	1	route	Singles	Check Bad Move	2	56	56	FALSE	FALSE	Meganium:56:UNK:NONE:Hardy:Sweet Scent,Light Screen,Body Slam,Safeguard|Porygon2:56:UNK:NONE:Hardy:Discharge,Lock-On,Tri Attack,Magic Coat	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted	NA	NA
14	Team Aqua Grunt Seafloor Cavern4	Team Aqua Grunt Seafloor Cavern	4	route	Singles	Check Bad Move	2	70	70	FALSE	FALSE	Golisopod:70:UNK:NONE:Hardy:Sucker Punch,Iron Defense,Pin Missile,Liquidation|Lokix:70:UNK:NONE:Hardy:Sucker Punch,First Impression,Bounce,Axe Kick	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted	NA	NA
15	Lvl -1 Triathlete Declan	Lvl -1 Triathlete Declan	1	route	Singles	Check Bad Move,Try To Faint,Check Viability,Smart Switching,Omniscient,Powerful Status	3	-1	-1	FALSE	TRUE	Farigiraf:-1:Armor Tail:Focus Sash:Quiet:Psyshock,Hyper Voice,Thunderbolt,Trick Room|Slither Wing:-1:Protosynthesis:Life Orb:Brave:First Impression,Close Combat,Leech Life,Stomping Tantrum|Cinderace:-1:Libero:Wide Lens:Jolly:Pyro Ball,Sucker Punch,High Jump Kick,Gunk Shot	31 hp,31 at,31 df,31 sa,31 sd,0 sp|31 hp,31 at,31 df,31 sa,31 sd,0 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp	252 hp,252 sa,6 sd|6 hp,252 at,252 sd|6 hp,252 at,252 sp	hzla_dynamic_calc_imp_1-3	Asserted	NA	NA
16	Lvl -2 Team Aqua Grunt Rusturf Tunnel	Lvl -2 Team Aqua Grunt Rusturf Tunnel	1	route	Singles	Check Bad Move,Try To Faint,Check Viability,Smart Switching,Omniscient	3	-2	-2	TRUE	FALSE	Glameow:-2:Own Tempo:Silk Scarf:Jolly:Fake Out,Knock Off,U-turn,Facade|Mightyena:-2:Intimidate:Muscle Band:Adamant:Bite,Sucker Punch,Fire Fang,Thunder Fang|Spoink:-2:Gluttony:Sitrus Berry:Calm:Psybeam,Flash,Icy Wind,Grass Knot	31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp	0|0|0	hzla_dynamic_calc_imp_1-3	Asserted	NA	NA
17	Team Aqua Grunt Weather Inst	Team Aqua Grunt Weather Inst	1	route	Singles	Check Bad Move	2	60	60	FALSE	FALSE	Perrserker:60:UNK:NONE:Hardy:Screech,Slash,Metal Sound,Thrash|Persian-Alola:60:UNK:NONE:Hardy:Slash,Nasty Plot,Assurance,Captivate	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted	NA	NA
18	Aqua Admin Matt Weather Inst	Aqua Admin Matt Weather Inst	1	admin	Singles	Check Bad Move,Try To Faint,Check Viability,Smart Switching,Omniscient	4	64	64	TRUE	TRUE	Machamp:64:Guts:Machampite:Adamant:Mach Punch,Drain Punch,Thunder Punch,Fire Punch|Ogerpon-Wellspring:64:Water Absorb:Wellspring Mask:Jolly:Ivy Cudgel,Horn Leech,Throat Chop,Play Rough|Greninja:64:Battle Bond:Expert Belt:Timid:Dark Pulse,Surf,Ice Beam,Grass Knot|Machamp-Mega:64:ORAORAORAORA:Machampite:Adamant:Mach Punch,Drain Punch,Thunder Punch,Fire Punch	31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp	6 hp,252 at,252 sp|6 hp,252 at,252 sp|6 hp,252 sa,252 sp|6 hp,252 at,252 sp	hzla_dynamic_calc_imp_1-3	Asserted	11	exact
19	Team Aqua Grunt Weather Inst3	Team Aqua Grunt Weather Inst	3	route	Singles	Check Bad Move	2	60	60	FALSE	FALSE	Mightyena:60:UNK:NONE:Hardy:Embargo,Yawn,Jaw Lock,Play Rough|Crobat:60:UNK:NONE:Hardy:Haze,Venoshock,Air Slash,Quick Guard	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted	NA	NA
20	Team Aqua Grunt Museum	Team Aqua Grunt Museum	1	route	Singles	Check Bad Move,Try To Faint,Check Viability,Smart Switching,Omniscient	2	28	30	TRUE	FALSE	Lokix:30:Tinted Lens:Muscle Band:Adamant:First Impression,Lunge,Assurance,Double Kick|Qwilfish:28:Intimidate:Wacan Berry:Jolly:Barb Barrage,Waterfall,Aqua Jet,Revenge	31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted	NA	NA
21	Team Aqua Grunt Museum2	Team Aqua Grunt Museum	2	route	Singles	Check Bad Move,Try To Faint,Check Viability,Smart Switching,Omniscient	3	28	30	TRUE	FALSE	Golisopod:30:Emergency Exit:Muscle Band:Adamant:First Impression,Razor Shell,Aqua Jet,Leech Life|Palpitoad:28:Water Absorb:Eviolite:Timid:Bubble Beam,Icy Wind,Mud Bomb,Uproar|Qwilfish-Hisui:28:Intimidate:Shuca Berry:Jolly:Barb Barrage,Throat Chop,Fell Stinger,Flip Turn	31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp	0|0|0	hzla_dynamic_calc_imp_1-3	Asserted	NA	NA
22	Team Magma Grunt Space Center	Team Magma Grunt Space Center	1	route	Singles	Check Bad Move	1	32	32	FALSE	FALSE	Numel:32:UNK:NONE:Hardy:Lava Plume,Earth Power,Curse,Take Down	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted	NA	NA
23	Lvl -1 Leader Gardenia2	Lvl -1 Leader Gardenia	2	route	Singles	Check Bad Move,Try To Faint,Check Viability,Smart Switching,Omniscient	6	-1	0	FALSE	TRUE	Vileplume:-1:Effect Spore:Black Sludge:Bold:Giga Drain,Toxic,Sludge Bomb,Synthesis|Arboliva:-1:Harvest:Sitrus Berry:Calm:Leech Seed,Protect,Giga Drain,Hyper Voice|Sudowoodo:-1:Sturdy:Muscle Band:Adamant:Rock Slide,High Horsepower,Trailblaze,Sucker Punch|Bellossom:-1:Chlorophyll:Leftovers:Bold:Giga Drain,Stun Spore,Dazzling Gleam,Synthesis|Roserade:0:Technician:Roseradite:Timid:Mega Drain,Sludge,Sleep Powder,Hidden Power|Roserade-Mega:0:Technician:Roseradite:Timid:Mega Drain,Sludge,Sleep Powder,Hidden Power	31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,30 at,31 df,30 sa,31 sd,30 sp|31 hp,30 at,31 df,30 sa,31 sd,30 sp	252 hp,252 df,6 sa|252 hp,6 sa,252 sd|6 hp,252 at,252 sp|252 hp,252 df,6 sa|6 hp,252 sa,252 sp|6 hp,252 sa,252 sp	hzla_dynamic_calc_imp_1-3	Asserted	NA	NA
24	Rival Dollamike	Rival Dollamike	1	rival	Singles	Check Bad Move,Try To Faint,Check Viability,Smart Switching,Omniscient	7	0	0	TRUE	TRUE	Gengar:0:Levitate:Gengarite:Timid:Hypnosis,Sludge Bomb,Shadow Ball,Nasty Plot|Blaziken:0:Striker:Leftovers:Jolly:Flame Charge,Brick Break,Swords Dance,Blaze Kick|Ninetales-Alola:0:Snow Warning:Shell Bell:Timid:Blizzard,Aurora Veil,Dazzling Gleam,Freeze-Dry|Swampert:0:Torrent:Muscle Band:Impish:Muddy Water,Rock Slide,Earthquake,Stealth Rock|Sylveon:0:Pixilate:Focus Sash:Bold:Calm Mind,Iron Tail,Dazzling Gleam,Psyshock|Silvally:0:RKS System:Leftovers:Jolly:Thunder Fang,Rock Slide,Parting Shot,Multi-Attack|Gengar-Mega:0:Shadow Tag:Gengarite:Timid:Hypnosis,Sludge Bomb,Shadow Ball,Nasty Plot	31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp	6 hp,252 sa,252 sp|6 hp,252 at,252 sp|6 hp,252 sa,252 sp|252 hp,6 at,252 df|252 hp,252 df,6 sa|6 hp,252 at,252 sp|6 hp,252 sa,252 sp	hzla_dynamic_calc_imp_1-3	Asserted	DYNAMIC	player_relative
25	Rival Danni	Rival Danni	1	rival	Singles	Check Bad Move,Try To Faint,Check Viability,Smart Switching,Omniscient	6	0	0	TRUE	TRUE	Urshifu-Rapid-Strike:0:Unseen Fist:Life Orb:Jolly:Surging Strikes,Close Combat,Aqua Jet,U-turn|Darkrai:0:Bad Dreams:Expert Belt:Timid:Dark Pulse,Focus Blast,Dark Void,Nasty Plot|Dragapult:0:Infiltrator:Choice Specs:Timid:Dragon Pulse,Shadow Ball,Flamethrower,Thunderbolt|Cinderace:0:Libero:Muscle Band:Jolly:Pyro Ball,High Jump Kick,Sucker Punch,U-turn|Flutter Mane:0:Protosynthesis:Booster Energy:Timid:Shadow Ball,Moonblast,Mystical Fire,Power Gem|Melmetal:0:Iron Fist:Assault Vest:Adamant:Double Iron Bash,Earthquake,Ice Punch,Thunder Punch	31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp	6 hp,252 at,252 sp|6 hp,252 sa,252 sp|6 hp,252 sa,252 sp|6 hp,252 at,252 sp|6 hp,252 sa,252 sp|6 hp,252 at,252 sp	hzla_dynamic_calc_imp_1-3	Asserted	DYNAMIC	player_relative
26	Team Aqua Grunt Weather Inst4	Team Aqua Grunt Weather Inst	4	route	Singles	Check Bad Move	1	60	60	FALSE	FALSE	Sharpedo:60:UNK:NONE:Hardy:Crunch,Agility,Skull Bash,Taunt	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted	NA	NA
27	Team Aqua Grunt Aqua Hideout5	Team Aqua Grunt Aqua Hideout	5	route	Singles	Check Bad Move	1	65	65	FALSE	FALSE	Bisharp:65:UNK:NONE:Hardy:Embargo,Iron Defense,Night Slash,Sucker Punch	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted	NA	NA
28	Team Aqua Grunt Aqua Hideout6	Team Aqua Grunt Aqua Hideout	6	route	Singles	Check Bad Move	1	65	65	FALSE	FALSE	Grapploct:65:UNK:NONE:Hardy:Superpower,Topsy-Turvy,Brutal Swing,Arm Thrust	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted	NA	NA
29	Expert Fredrick	Expert Fredrick	1	route	Singles	Check Bad Move,Try To Faint,Check Viability	2	56	56	FALSE	FALSE	Florges:56:UNK:NONE:Hardy:Moonblast,Petal Dance,Aromatherapy,Pollen Puff|Golurk:56:UNK:NONE:Hardy:Night Shade,Curse,Earthquake,Hammer Arm	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted	NA	NA
30	Aqua Leader Archie Hideout	Aqua Leader Archie Hideout	1	team_boss	Singles	Check Bad Move,Try To Faint,Check Viability,Smart Switching,Omniscient	7	74	74	FALSE	TRUE	Overqwil:74:Intimidate:Focus Sash:Jolly:Toxic Spikes,Haze,Barb Barrage,Throat Chop|Basculegion:74:Adaptability:Assault Vest:Adamant:Spirit Shackle,Wave Crash,Superpower,Shadow Sneak|Eelektross:74:Levitate:Expert Belt:Timid:Thunderbolt,Dragon Pulse,Flamethrower,Thunderclap|Poliwrath:74:Water Absorb:Life Orb:Jolly:Surging Strikes,Close Combat,Poison Jab,Jet Punch|Iron Bundle:74:Quark Drive:Booster Energy:Timid:Hydro Pump,Ice Beam,Freeze-Dry,Hidden Power|Sharpedo:74:Speed Boost:Sharpedonite:Jolly:Crunch,Psychic Fangs,Aqua Jet,Aqua Fang|Sharpedo-Mega:74:Strong Jaw:Sharpedonite:Jolly:Crunch,Psychic Fangs,Aqua Jet,Aqua Fang	31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,30 sa,30 sd,30 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp	6 hp,252 at,252 sp|6 hp,252 at,252 sp|6 hp,252 sa,252 sp|6 hp,252 at,252 sp|6 hp,252 sa,252 sp|6 hp,252 at,252 sp|6 hp,252 at,252 sp	hzla_dynamic_calc_imp_1-3	Asserted	14	exact
31	Black Belt Zander	Black Belt Zander	1	route	Singles	Check Bad Move	1	65	65	FALSE	FALSE	Annihilape:65:UNK:NONE:Hardy:Cross Chop,Final Gambit,Close Combat,Rage Fist	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted	NA	NA
32	Aqua Admin Shelly Weather Institute	Aqua Admin Shelly Weather Institute	1	admin	Singles	Check Bad Move,Try To Faint,Check Viability,Smart Switching,Omniscient	7	64	64	FALSE	TRUE	Huntail:64:Defiant:White Herb:Jolly:Shell Smash,Ice Fang,Crunch,Wave Crash|Keldeo-Resolute:64:Sharpness:Choice Specs:Timid:Secret Sword,Air Slash,Hydro Pump,Hidden Power|Haxorus:64:Mold Breaker:Lum Berry:Jolly:Dual Chop,Earthquake,Poison Jab,Dragon Dance|Decidueye:64:Tinted Lens:Assault Vest:Jolly:Spirit Shackle,Leaf Blade,Thousand Arrows,Shadow Sneak|Braviary-Hisui:64:Sheer Force:Life Orb:Modest:Psychic,Air Slash,Heat Wave,Roost|Gyarados:64:Intimidate:Gyaradosite:Jolly:Dragon Dance,Earthquake,Aqua Tail,Crunch|Gyarados-Mega:64:Mold Breaker:Gyaradosite:Jolly:Dragon Dance,Earthquake,Aqua Tail,Crunch	31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,30 at,31 df,30 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp	6 hp,252 at,252 sp|6 hp,252 sa,252 sp|6 hp,252 at,252 sp|6 hp,252 at,252 sp|6 hp,252 sa,252 sp|6 hp,252 at,252 sp|6 hp,252 at,252 sp	hzla_dynamic_calc_imp_1-3	Asserted	11	exact
33	Aqua Admin Shelly Seafloor Cavern	Aqua Admin Shelly Seafloor Cavern	1	admin	Singles	Check Bad Move,Try To Faint,Check Viability,Smart Switching,Omniscient	5	80	80	FALSE	TRUE	Keldeo-Resolute:80:Sharpness:Life Orb:Timid:Secret Sword,Air Slash,Hydro Pump,Hidden Power|Decidueye:80:Tinted Lens:Focus Sash:Jolly:Spirit Shackle,Leaf Blade,Thousand Arrows,Shadow Sneak|Goodra-Hisui:80:Sap Sipper:Assault Vest:Calm:Dragon Pulse,Flash Cannon,Thunderbolt,Ice Beam|Gyarados:80:Intimidate:Gyaradosite:Jolly:Dragon Dance,Earthquake,Aqua Tail,Crunch|Gyarados-Mega:80:Mold Breaker:Gyaradosite:Jolly:Dragon Dance,Earthquake,Aqua Tail,Crunch	31 hp,30 at,31 df,30 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp	6 hp,252 sa,252 sp|6 hp,252 at,252 sp|252 hp,6 sa,252 sd|6 hp,252 at,252 sp|6 hp,252 at,252 sp	hzla_dynamic_calc_imp_1-3	Asserted	16	exact
34	Aqua Leader Archie	Aqua Leader Archie	1	team_boss	Doubles	Check Bad Move,Try To Faint,Check Viability,Smart Switching,Omniscient	7	80	80	FALSE	TRUE	Iron Bundle:80:Quark Drive:Booster Energy:Timid:Hydro Pump,Icy Wind,Freeze-Dry,Hidden Power|Golurk:80:No Guard:Focus Sash:Adamant:Dynamic Punch,Poltergeist,Stone Edge,Headlong Rush|Eelektross:80:Fatal Precision:Expert Belt:Timid:Thunderbolt,Dragon Pulse,Flamethrower,Thunderclap|Quaquaval:80:Moxie:Life Orb:Jolly:Aqua Step,Close Combat,Ice Spinner,Brave Bird|Sharpedo:80:Speed Boost:Sharpedonite:Jolly:Crunch,Psychic Fangs,Aqua Fang,Aqua Jet|Kyogre:80:Drizzle:Blue Orb:Timid:Origin Pulse,Thunder,Ice Beam,Water Spout|Kyogre-Primal:80:Primordial Sea:Blue Orb:Timid:Origin Pulse,Thunder,Ice Beam,Water Spout	31 hp,31 at,31 df,30 sa,30 sd,30 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp	6 hp,252 sa,252 sp|6 hp,252 at,252 sp|6 hp,252 sa,252 sp|6 hp,252 at,252 sp|6 hp,252 at,252 sp|6 hp,252 sa,252 sp|6 hp,252 sa,252 sp	hzla_dynamic_calc_imp_1-3	Asserted	16	exact
35	Hex Maniac Leah	Hex Maniac Leah	1	route	Singles	Check Bad Move	1	65	65	FALSE	FALSE	Grumpig:65:UNK:NONE:Hardy:Payback,Psychic,Bounce,Slack Off	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted	NA	NA
36	Aroma Lady Daisy	Aroma Lady Daisy	1	route	Singles	Check Bad Move	2	24	24	FALSE	FALSE	Breloom:24:UNK:NONE:Hardy:Mega Drain,Headbutt,Feint,Counter|Squawkabilly:24:UNK:NONE:Hardy:Aerial Ace,Fury Attack,Taunt,Uproar	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted	NA	NA
37	Aroma Lady Rose	Aroma Lady Rose	1	route	Singles	Check Bad Move	2	29	29	FALSE	FALSE	Lilligant:29:UNK:NONE:Hardy:Synthesis,Teeter Dance,Sleep Powder,Quiver Dance|Garbodor:29:UNK:NONE:Hardy:Stockpile,Swallow,Body Slam,Sludge Bomb	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted	NA	NA
