species_const	species_name	checkpoint	primary_role	hybrid_role	top3	ceiling_fit	floor_fit	replacement_fit	vorp	tier	investment_delta	S	T	Y	F	track	ability	nature	item	item_reliable	moves	bst	earliest_cp	availability_confidence	entry_reason	matrix_score	confidence	item_dependence	unreliable_best_item	cant_miss
SPECIES_WEEPINBELL	Weepinbell	1	mixed_attacker	NA	mixed_attacker:0.6128	0.6128	0.5868	UNDEFINED	UNDEFINED	NR	0.026	0.716	0.75	1.0	0.334	mixed	ABILITY_CHLOROPHYLL	Serious	ITEM_MIRACLE_SEED	TRUE	Solar Blade,Solar Beam,Sludge Bomb,Poison Jab	390	6	Derived	evolution:EVO_LEVEL@21:from SPECIES_BELLSPROUT	0.7239	Derived	0.0527	ITEM_LIFE_ORB	NA
SPECIES_VICTREEBEL	Victreebel	1	mixed_attacker	NA	mixed_attacker:0.7732;tank:0.6437	0.7732	0.5937	UNDEFINED	UNDEFINED	NR	0.1795	0.838	1.0	1.0	0.534	mixed	ABILITY_CHLOROPHYLL	Naive	ITEM_MIRACLE_SEED	TRUE	Solar Blade,Gunk Shot,Solar Beam,Sludge Bomb	500	11	Derived	evolution:EVO_ITEM:ITEM_LEAF_STONE	0.7415	Derived	0.0067	ITEM_LIFE_ORB	NA
SPECIES_WEEZING	Weezing	1	mixed_attacker	wallbreaker_spec	mixed_attacker:0.7451;wallbreaker_spec:0.7089;wallbreaker_phys:0.7079	0.7451	0.6269	UNDEFINED	UNDEFINED	NR	0.1182	0.716	1.0	0.904	0.576	mixed	ABILITY_LEVITATE	Serious	ITEM_MAGNET	TRUE	Gunk Shot,Sludge Wave,Explosion,Thunder	490	7	Derived	evolution:EVO_LEVEL_DAY@35:from SPECIES_KOFFING	0.7062	Derived	0.0225	ITEM_LIFE_ORB	NA
SPECIES_WEEZING_GALAR	Weezing-Galar	1	mixed_attacker	NA	mixed_attacker:0.9049;tank:0.778	0.9049	0.6269	UNDEFINED	UNDEFINED	NR	0.278	0.716	1.0	0.904	0.976	mixed	ABILITY_LEVITATE	Serious	ITEM_FAIRY_FEATHER	TRUE	Gunk Shot,Misty Explosion,Sludge Wave,Play Rough	490	7	Derived	evolution:EVO_LEVEL_NIGHT@35:from SPECIES_KOFFING	0.9364	Derived	0.0	NA	NA
SPECIES_TANGROWTH	Tangrowth	1	mixed_attacker	wallbreaker_spec	mixed_attacker:0.8559;wallbreaker_spec:0.8333;wallbreaker_phys:0.8051	0.8559	0.7714	UNDEFINED	UNDEFINED	NR	0.0845	0.841	1.0	1.0	0.739	mixed	ABILITY_CHLOROPHYLL	Serious	ITEM_BLACK_BELT	TRUE	Solar Blade,Solar Beam,Focus Blast,Earthquake	535	1	Inferred	evolution:EVO_MOVE:MOVE_ANCIENT_POWER:from SPECIES_TANGELA	0.7945	Derived	0.0141	ITEM_LIFE_ORB	NA
SPECIES_MAGBY	Magby	1	mixed_attacker	wallbreaker_spec	mixed_attacker:0.5411;wallbreaker_spec:0.51;wallbreaker_phys:0.4989	0.5411	0.0	UNDEFINED	UNDEFINED	NR	0.5411	0.565	1.0	1.0	0.125	mixed	ABILITY_FLAME_BODY	Naive	ITEM_BLACK_BELT	TRUE	Overheat,Flare Blitz,Focus Punch,Belch	365	1	Asserted	wild	0.5014	Derived	0.0098	ITEM_CHOICE_SPECS	NA
SPECIES_MAGMAR	Magmar	1	mixed_attacker	NA	mixed_attacker:0.6636;revenge_killer:0.5496	0.6636	0.4643	UNDEFINED	UNDEFINED	NR	0.1993	0.797	1.0	1.0	0.286	mixed	ABILITY_FLAME_BODY	Serious	ITEM_BLACK_BELT	TRUE	Overheat,Flare Blitz,Focus Punch,Focus Blast	495	4	Derived	evolution:EVO_LEVEL@27:from SPECIES_MAGBY	0.6886	Derived	0.0115	ITEM_LIFE_ORB	NA
SPECIES_GIRAFARIG	Girafarig	1	mixed_attacker	NA	mixed_attacker:0.6494;tank:0.592	0.6494	0.5665	UNDEFINED	UNDEFINED	NR	0.0829	0.681	0.75	1.0	0.448	mixed	ABILITY_SAP_SIPPER	Naive	ITEM_SILK_SCARF	TRUE	Future Sight,Hyper Voice,Take Down,Psychic Fangs	455	9	Asserted	wild	0.7415	Derived	0.0949	ITEM_LIFE_ORB	NA
SPECIES_STANTLER	Stantler	1	mixed_attacker	wallbreaker_phys	mixed_attacker:0.6883;wallbreaker_phys:0.6557;wallbreaker_spec:0.6475	0.6883	0.6349	UNDEFINED	UNDEFINED	NR	0.0534	0.735	1.0	1.0	0.387	mixed	ABILITY_INTIMIDATE	Hasty	ITEM_MIRACLE_SEED	TRUE	Thrash,Hyper Voice,Solar Beam,Megahorn	465	7	Asserted	wild	0.7592	Derived	0.0112	ITEM_CHOICE_BAND	NA
SPECIES_COMBUSKEN	Combusken	1	mixed_attacker	NA	mixed_attacker:0.6168	0.6168	0.5314	UNDEFINED	UNDEFINED	NR	0.0854	0.694	1.0	1.0	0.233	mixed	ABILITY_BLAZE	Rash	ITEM_BLACK_BELT	TRUE	Focus Punch,Overheat,Focus Blast,Flare Blitz	405	2	Derived	evolution:EVO_LEVEL@16:from SPECIES_TORCHIC	0.6709	Derived	0.0095	ITEM_LIFE_ORB	NA
SPECIES_BLAZIKEN	Blaziken	1	mixed_attacker	NA	mixed_attacker:0.7522;tank:0.5324	0.7522	0.6449	UNDEFINED	UNDEFINED	NR	0.1073	0.903	1.0	1.0	0.441	mixed	ABILITY_BLAZE	Naive	ITEM_BLACK_BELT	TRUE	Focus Punch,Overheat,Focus Blast,Flare Blitz	530	7	Derived	evolution:EVO_LEVEL@36:from SPECIES_COMBUSKEN	0.7097	Derived	0.0078	ITEM_CHOICE_BAND	NA
SPECIES_SHIFTRY	Shiftry	1	mixed_attacker	NA	mixed_attacker:0.6835;tank:0.5931	0.6835	0.5854	UNDEFINED	UNDEFINED	NR	0.0981	0.903	0.75	1.0	0.395	mixed	ABILITY_CHLOROPHYLL	Naive	ITEM_BLACK_GLASSES	TRUE	Solar Blade,Solar Beam,Foul Play,Dark Pulse	520	11	Derived	evolution:EVO_ITEM:ITEM_LEAF_STONE	0.7592	Derived	0.0513	ITEM_LIFE_ORB	NA
SPECIES_CAMERUPT	Camerupt	1	mixed_attacker	NA	mixed_attacker:0.7448;tank:0.5468	0.7448	0.5468	UNDEFINED	UNDEFINED	NR	0.198	0.832	1.0	1.0	0.467	mixed	ABILITY_MAGMA_ARMOR	Serious	ITEM_CHARCOAL	TRUE	Eruption,Flare Blitz,Earthquake,Earth Power	480	6	Derived	evolution:EVO_LEVEL@33:from SPECIES_NUMEL	0.6886	Derived	0.0118	ITEM_LIFE_ORB	NA
SPECIES_CACTURNE	Cacturne	1	mixed_attacker	NA	mixed_attacker:0.6547	0.6547	0.0	UNDEFINED	UNDEFINED	NR	0.6547	0.924	0.75	1.0	0.309	mixed	ABILITY_SAND_VEIL	Serious	ITEM_BLACK_GLASSES	TRUE	Solar Beam,Dark Hole,Foul Play,Seed Bomb	485	6	Derived	evolution:EVO_LEVEL@28:from SPECIES_CACNEA	0.7239	Derived	0.0565	ITEM_LIFE_ORB	NA
SPECIES_SEVIPER	Seviper	1	mixed_attacker	wallbreaker_spec	mixed_attacker:0.7365;wallbreaker_spec:0.7071;wallbreaker_phys:0.6925	0.7365	0.5862	UNDEFINED	UNDEFINED	NR	0.1503	0.814	1.0	1.0	0.457	mixed	ABILITY_MERCILESS	Naive	ITEM_MIRACLE_SEED	TRUE	Gunk Shot,Sludge Wave,Power Whip,Wring Out	534	7	Asserted	wild	0.7062	Derived	0.0	ITEM_LIFE_ORB	NA
SPECIES_MONFERNO	Monferno	1	mixed_attacker	NA	mixed_attacker:0.6131	0.6131	0.5536	UNDEFINED	UNDEFINED	NR	0.0595	0.632	1.0	1.0	0.263	mixed	ABILITY_BLAZE	Naive	ITEM_BLACK_BELT	TRUE	Focus Punch,Overheat,Focus Blast,Flare Blitz	405	2	Derived	evolution:EVO_LEVEL@16:from SPECIES_CHIMCHAR	0.6709	Derived	0.0178	ITEM_LIFE_ORB	NA
SPECIES_FLOATZEL	Floatzel	1	mixed_attacker	revenge_killer	mixed_attacker:0.6587;revenge_killer:0.6379;tank:0.6239	0.6587	0.744	UNDEFINED	UNDEFINED	NR	-0.0853	0.755	0.75	1.0	0.425	mixed	ABILITY_WATER_VEIL	Serious	ITEM_BLACK_BELT	TRUE	Hydro Pump,Liquidation,Focus Punch,Focus Blast	490	3	Asserted	wild	0.8121	Derived	0.0675	ITEM_LIFE_ORB	NA
SPECIES_SKUNTANK	Skuntank	1	mixed_attacker	NA	mixed_attacker:0.6828;tank:0.542	0.6828	0.5495	UNDEFINED	UNDEFINED	NR	0.1333	0.763	0.75	1.0	0.48	mixed	ABILITY_STENCH	Naive	ITEM_BLACK_GLASSES	TRUE	Dark Hole,Foul Play,Sludge Bomb,Poison Jab	499	7	Derived	evolution:EVO_LEVEL@28:from SPECIES_STUNKY	0.6709	Derived	0.0716	ITEM_LIFE_ORB	NA
SPECIES_SPIRITOMB	Spiritomb	1	mixed_attacker	NA	mixed_attacker:0.8516;tank:0.7018	0.8516	0.543	UNDEFINED	UNDEFINED	NR	0.3086	0.762	0.75	1.0	0.903	mixed	ABILITY_PRESSURE	Serious	ITEM_BLACK_GLASSES	TRUE	Poltergeist,Dark Hole,Foul Play,Shadow Ball	485	3	Asserted	wild	0.8305	Derived	0.0442	ITEM_CHOICE_BAND	NA
SPECIES_LUCARIO	Lucario	1	mixed_attacker	NA	mixed_attacker:0.8907;revenge_killer:0.73;tank:0.6287	0.8907	0.8876	UNDEFINED	UNDEFINED	NR	0.0031	0.897	1.0	1.0	0.791	mixed	ABILITY_STEADFAST	Serious	ITEM_BLACK_BELT	TRUE	Focus Punch,Steel Beam,Focus Blast,Iron Tail	525	17	Asserted	wild	0.7239	Derived	0.0092	ITEM_LIFE_ORB	NA
SPECIES_LUCARIO_MEGA	Lucario-Mega	1	mixed_attacker	NA	mixed_attacker:0.912;revenge_killer:0.7823;tank:0.6511	0.912	0.9053	UNDEFINED	UNDEFINED	NR	0.0067	0.982	1.0	1.0	0.791	mixed	ABILITY_ADAPTABILITY	Serious	ITEM_BLACK_BELT	TRUE	Focus Punch,Steel Beam,Focus Blast,Iron Tail	625	17	Inferred	mega/primal form of SPECIES_LUCARIO (stone not resolved)	0.7239	Derived	0.0022	ITEM_LIFE_ORB	NA
SPECIES_SAMUROTT	Samurott	1	mixed_attacker	NA	mixed_attacker:0.8391;revenge_killer:0.7458;tank:0.7429	0.8391	0.6429	UNDEFINED	UNDEFINED	NR	0.1962	0.828	0.75	0.962	0.845	mixed	ABILITY_TORRENT	Serious	ITEM_METAL_COAT	TRUE	Steel Beam,Hydro Pump,Iron Tail,Liquidation	543	7	Derived	evolution:EVO_LEVEL_DAY@36:from SPECIES_DEWOTT	0.7768	Derived	0.0419	ITEM_LIFE_ORB	NA
SPECIES_SIMIPOUR	Simipour	1	mixed_attacker	tank	mixed_attacker:0.6649;tank:0.6411;revenge_killer:0.6146	0.6649	0.6902	UNDEFINED	UNDEFINED	NR	-0.0253	0.806	0.75	1.0	0.408	mixed	ABILITY_GLUTTONY	Serious	ITEM_BLACK_BELT	TRUE	Hydro Pump,Waterfall,Focus Punch,Focus Blast	498	1	Derived	evolution:EVO_ITEM:ITEM_WATER_STONE	0.798	Derived	0.0637	ITEM_LIFE_ORB	NA
SPECIES_BASCULEGION_F	Basculegion-F	1	mixed_attacker	tank	mixed_attacker:0.815;tank:0.7676	0.815	0.9195	UNDEFINED	UNDEFINED	NR	-0.1045	0.791	0.5	1.0	0.918	mixed	ABILITY_SWIFT_SWIM	Hasty	ITEM_MYSTIC_WATER	TRUE	Hydro Pump,Poltergeist,Liquidation,Shadow Ball	530	7	Derived	evolution:EVO_LEVEL_FEMALE@44:from SPECIES_BASCULIN_RED_STRIPED	0.9364	Derived	0.113	ITEM_LIFE_ORB	NA
SPECIES_KLANG	Klang	1	mixed_attacker	NA	mixed_attacker:0.7498;tank:0.6419	0.7498	0.5919	UNDEFINED	UNDEFINED	NR	0.1579	0.596	0.75	1.0	0.752	mixed	ABILITY_PLUS	Serious	ITEM_MAGNET	TRUE	Steel Beam,Gear Grind,Thunderbolt,Wild Charge	440	7	Derived	evolution:EVO_LEVEL@38:from SPECIES_KLINK	0.6603	Derived	0.0145	ITEM_LIFE_ORB	NA
SPECIES_EELEKTROSS	Eelektross	1	mixed_attacker	wallbreaker_phys	mixed_attacker:0.7335;wallbreaker_phys:0.7215;tank:0.6125	0.7335	0.6125	UNDEFINED	UNDEFINED	NR	0.121	0.881	1.0	1.0	0.408	mixed	ABILITY_LEVITATE	Serious	ITEM_BLACK_BELT	TRUE	Zap Cannon,Supercell Slam,Focus Punch,Thrash	515	11	Derived	evolution:EVO_ITEM:ITEM_THUNDER_STONE	0.6179	Derived	0.0344	ITEM_LIFE_ORB	NA
SPECIES_DIANCIE_MEGA	Diancie-Mega	1	mixed_attacker	NA	mixed_attacker:0.98;tank:0.8519;revenge_killer:0.8425	0.98	0.7884	UNDEFINED	UNDEFINED	NR	0.1916	0.994	1.0	0.904	0.99	mixed	ABILITY_MAGIC_BOUNCE	Serious	ITEM_FAIRY_FEATHER	TRUE	Meteor Beam,Stone Edge,Misty Explosion,Play Rough	700	7	Inferred	mega/primal form of SPECIES_DIANCIE (stone not resolved)	0.9364	Derived	0.0	NA	NA
SPECIES_TORRACAT	Torracat	1	mixed_attacker	revenge_killer	mixed_attacker:0.5048;revenge_killer:0.5004	0.5048	0.5581	UNDEFINED	UNDEFINED	NR	-0.0533	0.672	0.5	1.0	0.217	mixed	ABILITY_BLAZE	Serious	ITEM_CHARCOAL	TRUE	Overheat,Flare Blitz,Body Slam,Leech Life	420	2	Derived	evolution:EVO_LEVEL@16:from SPECIES_LITTEN	0.6003	Derived	0.0263	ITEM_LIFE_ORB	NA
SPECIES_PHEROMOSA	Pheromosa	1	mixed_attacker	NA	mixed_attacker:0.6415;revenge_killer:0.577;regen_pivot:0.4031	0.6415	0.4216	UNDEFINED	UNDEFINED	NR	0.2199	0.976	0.75	0.808	0.316	mixed	ABILITY_BEAST_BOOST	Serious	ITEM_BLACK_BELT	TRUE	Close Combat,Focus Blast,Bug Buzz,U-turn	570	15	Asserted	wild	0.6886	Derived	0.1035	ITEM_LIFE_ORB	NA
SPECIES_POIPOLE	Poipole	1	mixed_attacker	wallbreaker_spec	mixed_attacker:0.6315;wallbreaker_spec:0.607;wallbreaker_phys:0.5828	0.6315	0.0	UNDEFINED	UNDEFINED	NR	0.6315	0.583	1.0	1.0	0.34	mixed	ABILITY_BEAST_BOOST	Naive	ITEM_DRAGON_FANG	TRUE	Gunk Shot,Sludge Wave,Draco Meteor,Iron Tail	420	15	Asserted	wild	0.6003	Derived	0.0	ITEM_LIFE_ORB	NA
SPECIES_IRON_VALIANT	Iron Valiant	1	mixed_attacker	wallbreaker_spec	mixed_attacker:0.8293;wallbreaker_spec:0.8289;tank:0.7435	0.8293	0.7622	UNDEFINED	UNDEFINED	NR	0.0671	0.941	1.0	1.0	0.61	mixed	ABILITY_QUARK_DRIVE	Serious	ITEM_BLACK_BELT	TRUE	Close Combat,Focus Blast,Moonblast,Future Sight	590	15	Asserted	wild	0.7592	Derived	0.0097	ITEM_LIFE_ORB	NA
SPECIES_DUNSPARCE	Dunsparce	1	mixed_wall	NA	mixed_wall:0.7895;physical_wall:0.7334;special_wall:0.727	0.7895	0.6199	0.7407	0.0488	C	0.1696	0.816	1.0	0.0	0.958	support	ABILITY_SERENE_GRACE	Calm	ITEM_BERRY_JUICE	TRUE	Body Slam,Roost,Thunder Wave,Stealth Rock	435	3	Asserted	wild	0.9555	Derived	0.0	NA	FALSE
SPECIES_DRAGONAIR	Dragonair	1	phazer	NA	phazer:0.2224	0.2224	0.5124	0.3609	-0.1385	F	-0.29	0.499	0.3	0.0	0.15	physical	ABILITY_SHED_SKIN	Adamant	ITEM_LIFE_ORB	FALSE	Dragon Tail,Iron Tail,Body Slam,Waterfall	420	3	Asserted	wild	0.7768	Derived	0.0	NA	FALSE
SPECIES_SLAKOTH	Slakoth	1	physical_wall	status_spreader	physical_wall:0.6223;status_spreader:0.5887;special_wall:0.569	0.6223	0.4987	UNDEFINED	UNDEFINED	NR	0.1236	0.399	0.75	0.0	0.957	support	ABILITY_TRUANT	Calm	ITEM_BERRY_JUICE	TRUE	Body Slam,Yawn,Slack Off,Sunny Day	280	7	Asserted	wild	0.9746	Derived	0.0	NA	NA
SPECIES_MANDIBUZZ	Mandibuzz	1	physical_wall	NA	physical_wall:0.7937;special_wall:0.7294;mixed_wall:0.7294	0.7937	0.0	UNDEFINED	UNDEFINED	NR	0.7937	0.968	0.75	0.192	0.958	support	ABILITY_FRISK	Bold	ITEM_BERRY_JUICE	TRUE	Brave Bird,Whirlwind,Defog,Roost	510	8	Derived	evolution:EVO_LEVEL@45:from SPECIES_VULLABY	0.9492	Derived	0.0	NA	NA
SPECIES_FLETCHINDER	Fletchinder	1	physical_wall	special_wall	physical_wall:0.6404;special_wall:0.6391;status_spreader:0.609	0.6404	0.5099	UNDEFINED	UNDEFINED	NR	0.1305	0.377	0.75	0.192	0.943	support	ABILITY_FLAME_BODY	Calm	ITEM_BERRY_JUICE	TRUE	Overheat,Defog,Roost,Will-O-Wisp	382	2	Derived	evolution:EVO_LEVEL@17:from SPECIES_FLETCHLING	0.6893	Derived	0.0	NA	NA
SPECIES_GOLISOPOD	Golisopod	1	priority_abuser	wallbreaker_phys	priority_abuser:0.9708;wallbreaker_phys:0.9342;tank:0.8496	0.9708	0.7501	0.9563	0.0145	C	0.2207	0.93	1.0	1.0	0.971	physical	ABILITY_EMERGENCY_EXIT	Adamant	ITEM_WEAKNESS_POLICY	TRUE	First Impression,Liquidation,Close Combat,Leech Life	530	4	Asserted	wild	0.9364	Derived	0.0	NA	FALSE
SPECIES_QUAXWELL	Quaxwell	1	priority_abuser	revenge_killer	priority_abuser:0.6965;revenge_killer:0.6603;tank:0.6056	0.6965	0.6566	0.9563	-0.2598	F	0.0399	0.67	1.0	1.0	0.448	physical	ABILITY_TORRENT	Careful	ITEM_BLACK_BELT	TRUE	Liquidation,Brave Bird,Low Sweep,Aqua Jet	410	2	Derived	evolution:EVO_LEVEL@16:from SPECIES_QUAXLY	0.7415	Derived	0.0259	ITEM_CHOICE_BAND	FALSE
SPECIES_CORPHISH	Corphish	1	priority_abuser	wallbreaker_phys	priority_abuser:0.6224;wallbreaker_phys:0.5858;revenge_killer:0.4907	0.6224	0.0	0.9563	-0.3339	F	0.6224	0.605	1.0	1.0	0.303	physical	ABILITY_HYPER_CUTTER	Adamant	ITEM_BLACK_BELT	TRUE	Waterfall,Superpower,Double-Edge,Aqua Jet	308	1	Asserted	wild	0.7062	Derived	0.0181	ITEM_CHOICE_BAND	FALSE
SPECIES_QUAXLY	Quaxly	1	priority_abuser	wallbreaker_phys	priority_abuser:0.5459;wallbreaker_phys:0.5092;revenge_killer:0.5022	0.5459	0.5019	0.9563	-0.4104	F	0.044	0.424	1.0	1.0	0.225	physical	ABILITY_TORRENT	Adamant	ITEM_MYSTIC_WATER	TRUE	Liquidation,Last Resort,Brave Bird,Aqua Jet	310	1	Measured	starter:game_start	0.6462	Derived	0.0245	ITEM_CHOICE_BAND	FALSE
SPECIES_APPLIN	Applin	1	priority_abuser	NA	priority_abuser:0.4534;revenge_killer:0.3807	0.4534	0.0	0.9563	-0.5029	F	0.4534	0.131	1.0	1.0	0.177	mixed	ABILITY_RIPEN	Hasty	ITEM_BLACK_GLASSES	TRUE	Mega Drain,Dragon Breath,Grassy Glide,Sucker Punch	260	7	Asserted	wild	0.5014	Derived	0.0066	ITEM_CHOICE_BAND	FALSE
SPECIES_CHEWTLE	Chewtle	1	regen_pivot	NA	regen_pivot:0.4452	0.4452	0.4948	0.6763	-0.2311	F	-0.0496	0.237	0.6	0.0	0.674	support	ABILITY_STRONG_JAW	Calm	ITEM_BERRY_JUICE	TRUE	Hydro Pump,Surf,Liquidation,Flip Turn	284	1	Asserted	wild	0.565	Derived	0.0	NA	FALSE
SPECIES_KRABBY	Krabby	1	regen_pivot	NA	regen_pivot:0.3412	0.3412	0.0	0.6763	-0.3351	F	0.3412	0.392	0.6	0.0	0.266	physical	ABILITY_HYPER_CUTTER	Adamant	ITEM_LIFE_ORB	FALSE	Liquidation,Superpower,Body Slam,Flip Turn	325	1	Asserted	wild	0.7062	Derived	0.0	NA	FALSE
SPECIES_DURANT	Durant	1	revenge_killer	priority_abuser	revenge_killer:0.9029;priority_abuser:0.8888;wallbreaker_phys:0.8521	0.9029	0.7624	0.9284	-0.0255	D	0.1405	0.921	1.0	1.0	0.807	physical	ABILITY_SWARM	Adamant	ITEM_LIFE_ORB	FALSE	First Impression,Iron Head,Close Combat,X-Scissor	484	11	Derived	wild	0.8333	Derived	0.0	NA	FALSE
SPECIES_DREEPY	Dreepy	1	revenge_killer	NA	revenge_killer:0.8668;priority_abuser:0.7842;phazer:0.1974	0.8668	0.8642	0.9284	-0.0616	D	0.0026	0.731	0.923	1.0	0.873	support	ABILITY_CLEAR_BODY	Careful	ITEM_BERRY_JUICE	TRUE	Dragon Tail,Sucker Punch,Astonish,Bite	270	7	Asserted	wild	0.4548	Derived	0.0163	ITEM_LIFE_ORB	FALSE
SPECIES_FROSLASS	Froslass	1	revenge_killer	mixed_attacker	revenge_killer:0.8174;mixed_attacker:0.7997;tank:0.6001	0.8174	0.9367	0.9284	-0.111	F	-0.1193	0.924	0.4	1.0	0.891	mixed	ABILITY_ICE_BODY	Serious	ITEM_NEVER_MELT_ICE	TRUE	Blizzard,Poltergeist,Shadow Ball,Ice Spinner	510	13	Derived	evolution:EVO_ITEM_FEMALE:ITEM_DAWN_STONE	0.7775	Derived	0.0901	ITEM_LIFE_ORB	TRUE
SPECIES_DRAKLOAK	Drakloak	1	revenge_killer	NA	revenge_killer:0.813;phazer:0.2353	0.813	0.8053	0.9284	-0.1154	F	0.0077	0.894	0.4	1.0	0.899	physical	ABILITY_CLEAR_BODY	Adamant	ITEM_LIFE_ORB	FALSE	Phantom Force,Dragon Tail,Psychic Fangs,Steel Wing	410	7	Asserted	wild	0.8432	Derived	0.0	NA	FALSE
SPECIES_SWOOBAT	Swoobat	1	revenge_killer	NA	revenge_killer:0.8103;tank:0.6458;screens_setter:0.6247	0.8103	0.5972	0.9284	-0.1181	F	0.2131	0.95	0.4	1.0	0.857	support	ABILITY_UNAWARE	Calm	ITEM_BERRY_JUICE	TRUE	Future Sight,Light Screen,Reflect,Defog	443	3	Inferred	evolution:EVO_FRIENDSHIP:0:from SPECIES_WOOBAT	0.8298	Derived	0.0	NA	FALSE
