map	earliest_cp	confidence	provenance	encounter_records
MAGMA_HIDEOUT_3F_1R	16	Asserted	walkthrough: creator ordering	12
MAGMA_HIDEOUT_3F_2R	16	Asserted	walkthrough: creator ordering	12
MAGMA_HIDEOUT_3F_3R	16	Asserted	walkthrough: creator ordering	12
MAGMA_HIDEOUT_4F	16	Asserted	walkthrough: creator ordering	12
METEOR_FALLS_1F_1R	7	Asserted	walkthrough: creator ordering	25
METEOR_FALLS_1F_2R	7	Asserted	walkthrough: creator ordering	28
METEOR_FALLS_B1F_1R	7	Asserted	walkthrough: creator ordering	28
METEOR_FALLS_B1F_2R	7	Asserted	walkthrough: creator ordering	28
METEOR_FALLS_STEVENS_CAVE	19	Asserted	walkthrough: creator ordering	12
MIRAGE_TOWER_1F	9	Asserted	walkthrough: creator ordering	12
MIRAGE_TOWER_2F	9	Asserted	walkthrough: creator ordering	10
MIRAGE_TOWER_3F	9	Asserted	walkthrough: creator ordering	12
MIRAGE_TOWER_4F	9	Asserted	walkthrough: creator ordering	11
MOSSDEEP_CITY	15	Derived	source: item placement	28
MT_PYRE_1F	13	Asserted	walkthrough: creator ordering	12
MT_PYRE_2F	13	Asserted	walkthrough: creator ordering	12
MT_PYRE_3F	13	Asserted	walkthrough: creator ordering	11
MT_PYRE_4F	13	Asserted	walkthrough: creator ordering	12
MT_PYRE_5F	13	Asserted	walkthrough: creator ordering	12
MT_PYRE_6F	13	Asserted	walkthrough: creator ordering	8
MT_PYRE_EXTERIOR	13	Asserted	walkthrough: creator ordering	12
MT_PYRE_SUMMIT	13	Asserted	walkthrough: creator ordering	12
NEW_MAUVILLE_ENTRANCE	6	Asserted	walkthrough: creator ordering	12
NEW_MAUVILLE_INSIDE	6	Asserted	walkthrough: creator ordering	12
PACIFIDLOG_TOWN	17	Asserted	walkthrough: creator ordering	16
PETALBURG_CITY	1	Asserted	walkthrough: creator ordering (earlier than item gate)	16
PETALBURG_WOODS	1	Asserted	walkthrough: creator ordering	12
ROCKY_SLAB	19	Asserted	walkthrough: creator ordering	5
ROUTE101	1	Asserted	walkthrough: creator ordering	12
ROUTE102	1	Asserted	walkthrough: creator ordering	28
ROUTE103	1	Asserted	walkthrough: creator ordering	27
ROUTE104	1	Asserted	walkthrough: creator ordering	26
ROUTE105	3	Asserted	walkthrough: creator ordering	15
ROUTE106	3	Asserted	walkthrough: creator ordering	16
ROUTE107	3	Asserted	walkthrough: creator ordering	27
ROUTE108	4	Asserted	walkthrough: creator ordering	16
ROUTE109	4	Asserted	walkthrough: creator ordering	26
ROUTE110	4	Asserted	walkthrough: creator ordering (earlier than item gate)	27
ROUTE110_TRICK_HOUSE_PUZZLE1	9	Asserted	walkthrough: creator ordering	6
ROUTE110_TRICK_HOUSE_PUZZLE2	9	Asserted	walkthrough: creator ordering	7
ROUTE110_TRICK_HOUSE_PUZZLE3	9	Asserted	walkthrough: creator ordering	10
ROUTE111	6	Asserted	walkthrough: creator ordering	33
ROUTE112	6	Asserted	walkthrough: creator ordering	12
ROUTE113	7	Asserted	walkthrough: creator ordering	12
ROUTE114	7	Asserted	walkthrough: creator ordering	33
ROUTE115	7	Asserted	walkthrough: creator ordering	26
ROUTE116	1	Asserted	walkthrough: creator ordering	12
ROUTE117	6	Asserted	walkthrough: creator ordering	27
ROUTE118	11	Asserted	walkthrough: creator ordering	26
ROUTE119	11	Derived	source: item placement	28
ROUTE120	12	Asserted	walkthrough: creator ordering	25
ROUTE121	13	Asserted	walkthrough: creator ordering	27
ROUTE122	13	Asserted	walkthrough: creator ordering	28
ROUTE123	11	Asserted	walkthrough: creator ordering	28
ROUTE124	15	Asserted	walkthrough: creator ordering	28
ROUTE125	15	Asserted	walkthrough: creator ordering	16
ROUTE126	15	Asserted	walkthrough: creator ordering	27
ROUTE127	15	Asserted	walkthrough: creator ordering	23
ROUTE128	16	Asserted	walkthrough: creator ordering	27
ROUTE129	17	Asserted	walkthrough: creator ordering	26
ROUTE130	17	Asserted	walkthrough: creator ordering	28
ROUTE131	17	Asserted	walkthrough: creator ordering	14
ROUTE132	18	Asserted	walkthrough: creator ordering	16
ROUTE133	18	Asserted	walkthrough: creator ordering	28
ROUTE134	18	Asserted	walkthrough: creator ordering	16
RUSTBORO_CITY	1	Asserted	walkthrough: creator ordering (earlier than item gate)	12
RUSTURF_TUNNEL	2	Asserted	walkthrough: creator ordering	12
SAFARI_ZONE_NORTH	13	Asserted	walkthrough: creator ordering	17
SAFARI_ZONE_NORTHEAST	13	Asserted	walkthrough: creator ordering	15
SAFARI_ZONE_NORTHWEST	13	Asserted	walkthrough: creator ordering	26
SAFARI_ZONE_SOUTH	13	Asserted	walkthrough: creator ordering	12
SAFARI_ZONE_SOUTHEAST	13	Asserted	walkthrough: creator ordering	26
SAFARI_ZONE_SOUTHWEST	13	Asserted	walkthrough: creator ordering	28
SCORCHED_SLAB	11	Asserted	walkthrough: creator ordering	5
SEAFLOOR_CAVERN_ENTRANCE	16	Asserted	walkthrough: creator ordering	16
SEAFLOOR_CAVERN_ROOM1	16	Asserted	walkthrough: creator ordering	12
SEAFLOOR_CAVERN_ROOM2	16	Asserted	walkthrough: creator ordering	12
SEAFLOOR_CAVERN_ROOM3	16	Asserted	walkthrough: creator ordering	11
SEAFLOOR_CAVERN_ROOM4	16	Asserted	walkthrough: creator ordering	11
SEAFLOOR_CAVERN_ROOM5	16	Asserted	walkthrough: creator ordering	12
SEAFLOOR_CAVERN_ROOM6	16	Asserted	walkthrough: creator ordering	28
SEAFLOOR_CAVERN_ROOM7	16	Asserted	walkthrough: creator ordering	28
SEAFLOOR_CAVERN_ROOM8	16	Asserted	walkthrough: creator ordering	12
SHOAL_CAVE_LOW_TIDE_ENTRANCE_ROOM	15	Asserted	walkthrough: creator ordering	28
SHOAL_CAVE_LOW_TIDE_ICE_ROOM	15	Asserted	walkthrough: creator ordering	10
SHOAL_CAVE_LOW_TIDE_INNER_ROOM	15	Asserted	walkthrough: creator ordering	28
SHOAL_CAVE_LOW_TIDE_LOWER_ROOM	15	Asserted	walkthrough: creator ordering	12
SHOAL_CAVE_LOW_TIDE_STAIRS_ROOM	15	Asserted	walkthrough: creator ordering	12
SKY_PILLAR_1F	17	Asserted	walkthrough: creator ordering	10
SKY_PILLAR_3F	17	Asserted	walkthrough: creator ordering	10
SKY_PILLAR_5F	17	Asserted	walkthrough: creator ordering	10
SLATEPORT_CITY	4	Derived	source: item placement	16
SOOTOPOLIS_CITY	16	Asserted	walkthrough: creator ordering (earlier than item gate)	13
UNDERWATER_ROUTE124	16	Asserted	walkthrough: creator ordering	5
UNDERWATER_ROUTE126	16	Asserted	walkthrough: creator ordering	5
VICTORY_ROAD_1F	18	Derived	source: item placement	12
VICTORY_ROAD_B1F	18	Derived	source: item placement	17
VICTORY_ROAD_B2F	18	Derived	source: item placement	28
